Pval	Waves	Gene	Rho	BootP	PermP	BootP_All
1	0.00818206461633403	Perc_recall	ABCG1	-0.635294117647059	0.01	0	0
2	0.00186274109994744	Perc_recall	ABHD12	-0.714705882352941	0	0	0.02
3	0.0226632048441846	Perc_recall	ABHD6	-0.564705882352941	0.02	0.04	0.02
4	0.0117884050531152	Perc_recall	ABTB2	-0.611764705882353	0.04	0.01	0.03
5	0.00471198194799	Perc_recall	ACACB	-0.667647058823529	0.01	0	0
6	0.0194151403865316	Perc_recall	ACAT2	0.576470588235294	0.03	0.02	0.01
7	0.006102046679077	Perc_recall	ACOT9	-0.652941176470588	0	0	0.01
8	0.00253509460443193	Perc_recall	ACTR8	0.7	0	0.01	0
9	0.0293363374813766	Perc_recall	ADAD2	0.544117647058823	0.04	0.01	0.04
10	0.0201910380465231	Perc_recall	ADAM9	0.573529411764706	0.02	0	0.02
11	0.0179327341310354	Perc_recall	ADAMTS16	0.582352941176471	0.01	0.03	0.03
12	0.00496738593748203	Perc_recall	ADSSL1	-0.664705882352941	0.01	0	0.02
13	0.00224590060105133	Perc_recall	AIF1	0.705882352941176	0	0	0.01
14	0.0253621763206081	Perc_recall	AKAP6	-0.555882352941176	0.02	0.02	0.03
15	0.0201910380465231	Perc_recall	AMPD3	-0.573529411764706	0.02	0	0.01
16	0.0226632048441846	Perc_recall	ANOS1	0.564705882352941	0.03	0.01	0.04
17	0.00743441908253395	Perc_recall	ANP32B	-0.641176470588235	0.02	0.01	0.02
18	0.00224590060105133	Perc_recall	AP3M1	0.705882352941176	0.02	0	0.01
19	0.0194151403865316	Perc_recall	ARHGAP12	0.576470588235294	0.02	0.03	0.03
20	0.0026905894025606	Perc_recall	ARHGDIB	0.697058823529412	0	0.01	0.01
21	0.00898808926444689	Perc_recall	ATF2	0.629411764705882	0	0.01	0
22	0.000109363080819865	Perc_recall	ATOH8	-0.817647058823529	0	0	0
23	0.00125495816615226	Perc_recall	ATP5L	0.732352941176471	0	0	0.01
24	0.0140071223296	Perc_recall	B2M	0.6	0.02	0.02	0.03
25	0.0272939727097306	Perc_recall	BBS12	0.55	0.04	0.02	0.01
26	0.0304002188881703	Perc_recall	BCAR3	-0.541176470588235	0.02	0.04	0.01
27	0.0337686229602348	Perc_recall	BCL2L13	-0.532352941176471	0.04	0.04	0.03
28	0.0128602985333672	Perc_recall	BEND4	0.605882352941176	0	0.01	0.01
29	0.0058007369622315	Perc_recall	BHLHE41	0.655882352941176	0.01	0.01	0
30	0.0314932282058384	Perc_recall	BLNK	0.538235294117647	0.01	0.04	0.04
31	0.0158755795556414	Perc_recall	BMP8A	-0.591176470588235	0.02	0.02	0.02
32	0.0186625294177119	Perc_recall	C14orf119	0.579411764705882	0.03	0	0.02
33	0.0272939727097307	Perc_recall	C15orf52	-0.55	0.03	0.02	0.01
34	0.0107879846019488	Perc_recall	C15orf57	-0.617647058823529	0.01	0	0
35	0.0064157065211753	Perc_recall	C1orf145	0.65	0	0	0.01
36	0.00857758410309935	Perc_recall	C1QB	0.632352941176471	0.02	0.01	0.01
37	0.014609731954981	Perc_recall	C2orf82	0.597058823529412	0.01	0.01	0.03
38	0.0117884050531152	Perc_recall	C5orf30	0.611764705882353	0.03	0.03	0.01
39	0.0337686229602347	Perc_recall	C6orf141	0.532352941176471	0.04	0.03	0.02
40	0.0179327341310354	Perc_recall	C7orf61	-0.582352941176471	0.02	0	0.02
41	0.0128602985333672	Perc_recall	CALHM2	0.605882352941176	0.04	0.02	0.02
42	0.00743441908253395	Perc_recall	CCDC12	-0.641176470588235	0.01	0	0.01
43	0.00898808926444689	Perc_recall	CCDC40	-0.629411764705882	0.02	0.01	0.01
44	0.0064157065211753	Perc_recall	CCND3	-0.65	0.01	0.01	0.02
45	0.00523375330132751	Perc_recall	CCNT2	0.661764705882353	0.02	0.01	0
46	0.00134307868238367	Perc_recall	CD14	0.729411764705882	0	0	0
47	0.00941397730678366	Perc_recall	CD48	0.626470588235294	0	0	0.01
48	0.0103135155496777	Perc_recall	CDH23	-0.620588235294118	0.03	0.02	0.03
49	0.011279474063305	Perc_recall	CDK11B	-0.614705882352941	0.02	0.01	0.03
50	0.0349520067895182	Perc_recall	CERCAM	-0.529411764705882	0.04	0.04	0.03
51	0.0272939727097307	Perc_recall	CFDP1	-0.55	0.03	0.01	0.02
52	0.0134241253978914	Perc_recall	CGGBP1	0.602941176470588	0.04	0.02	0.01
53	0.00496738593748199	Perc_recall	CHI3L1	0.664705882352941	0	0.01	0.01
54	0.00818206461633403	Perc_recall	CHI3L2	0.635294117647059	0	0.01	0.04
55	0.0128602985333672	Perc_recall	CHRDL1	0.605882352941176	0.03	0.01	0
56	0.0244365114245058	Perc_recall	CLASRP	-0.558823529411765	0.02	0	0.03
57	0.00186274109994744	Perc_recall	CLDN10	0.714705882352941	0.01	0	0
58	0.025362176320608	Perc_recall	CLEC2B	0.555882352941176	0.01	0.01	0.03
59	0.00857758410309935	Perc_recall	CLEC9A	0.632352941176471	0.02	0.01	0
60	0.0253621763206081	Perc_recall	CLMP	-0.555882352941176	0.03	0.03	0.02
