Gene	Waves	Rho	Pval	BootP	PermP	BootP_All
1	A2ML1	STG_GM_Thickness_mm	0.655882352941176	0.0058007369622315	0.02	0	0
2	ABI2	STG_GM_Thickness_mm	0.561764705882353	0.0235370164742809	0.03	0.03	0.03
3	AF131216.1	STG_GM_Thickness_mm	-0.620588235294118	0.0103135155496777	0	0.02	0.01
4	AIFM2	STG_GM_Thickness_mm	0.511764705882353	0.0427234481633318	0.02	0.01	0.03
5	ARL5C	STG_GM_Thickness_mm	-0.544117647058823	0.0293363374813766	0.04	0.02	0.02
6	BMP6	STG_GM_Thickness_mm	0.508823529411765	0.0441352182349839	0.04	0.04	0.03
7	C19orf70	STG_GM_Thickness_mm	-0.582352941176471	0.0179327341310354	0.03	0.02	0.04
8	C1orf54	STG_GM_Thickness_mm	0.520588235294118	0.0386909071406499	0.04	0.02	0.02
9	C20orf202	STG_GM_Thickness_mm	-0.594117647058824	0.015232400876328	0.03	0	0.02
10	CALB1	STG_GM_Thickness_mm	0.520588235294118	0.0386909071406499	0.04	0.01	0.04
11	CAPN10	STG_GM_Thickness_mm	-0.617647058823529	0.0107879846019488	0.02	0	0.03
12	CFAP61	STG_GM_Thickness_mm	0.658823529411765	0.00551142233634371	0.02	0	0.02
13	CHCHD7	STG_GM_Thickness_mm	0.523529411764706	0.0374126481301494	0	0.02	0.03
14	CNTD1	STG_GM_Thickness_mm	0.547058823529412	0.0283010872421088	0.03	0.02	0.04
15	CORO2A	STG_GM_Thickness_mm	0.591176470588235	0.0158755795556415	0.01	0.01	0.02
16	CTC-479C5.12	STG_GM_Thickness_mm	-0.614705882352941	0.011279474063305	0.04	0.02	0.02
17	CTD-3105H18.18	STG_GM_Thickness_mm	0.623529411764706	0.00985565039092204	0	0.01	0
18	CYP11A1	STG_GM_Thickness_mm	0.647058823529412	0.00674207700717987	0.02	0.01	0.03
19	D2HGDH	STG_GM_Thickness_mm	-0.561764705882353	0.023537016474281	0.01	0.04	0.01
20	DDX39A	STG_GM_Thickness_mm	-0.782352941176471	0.000341220763964976	0	0	0
21	DECR2	STG_GM_Thickness_mm	-0.573529411764706	0.0201910380465231	0.03	0.02	0.02
22	DENND1C	STG_GM_Thickness_mm	0.579411764705882	0.0186625294177119	0.03	0.02	0.01
23	DRICH1	STG_GM_Thickness_mm	0.629411764705882	0.00898808926444689	0	0.02	0.01
24	EXO1	STG_GM_Thickness_mm	0.579411764705882	0.0186625294177119	0.03	0.02	0.02
25	EYS	STG_GM_Thickness_mm	0.605882352941176	0.0128602985333672	0.01	0.03	0.01
26	FAM117A	STG_GM_Thickness_mm	0.567647058823529	0.021814592143743	0.04	0.02	0.04
27	FAM127A	STG_GM_Thickness_mm	-0.579411764705882	0.0186625294177119	0.02	0.01	0
28	FAM20B	STG_GM_Thickness_mm	0.585294117647059	0.0172252866160948	0.02	0.03	0.01
29	FAM212A	STG_GM_Thickness_mm	-0.614705882352941	0.011279474063305	0.01	0	0.02
30	FAXC	STG_GM_Thickness_mm	0.514705882352941	0.041345806442249	0.04	0.04	0.02
31	FOS	STG_GM_Thickness_mm	-0.567647058823529	0.021814592143743	0.01	0.02	0.01
32	FOXF1	STG_GM_Thickness_mm	-0.673529411764706	0.0042327392484605	0	0.01	0
33	FSTL1	STG_GM_Thickness_mm	0.597058823529412	0.014609731954981	0.04	0.02	0.01
34	GIPR	STG_GM_Thickness_mm	-0.576470588235294	0.0194151403865316	0.04	0.03	0.01
35	GJB2	STG_GM_Thickness_mm	0.726470588235294	0.00143618263507853	0.01	0	0
36	GLP1R	STG_GM_Thickness_mm	0.585294117647059	0.0172252866160948	0.03	0.03	0.02
37	GPR132	STG_GM_Thickness_mm	-0.552941176470588	0.0263144998706666	0.03	0.02	0.03
38	HDDC3	STG_GM_Thickness_mm	-0.655882352941176	0.00580073696223151	0.02	0.01	0
39	HMG20B	STG_GM_Thickness_mm	-0.547058823529412	0.028301087242109	0.03	0.04	0.02
40	HMHA1	STG_GM_Thickness_mm	-0.55	0.0272939727097307	0	0.01	0.04
41	HOMER3	STG_GM_Thickness_mm	-0.552941176470588	0.0263144998706666	0.02	0.01	0.01
42	HSD17B1	STG_GM_Thickness_mm	-0.661764705882353	0.00523375330132754	0.02	0	0.01
