Gene	cluster
CUX2	Cluster_0
FAM153C	Cluster_0
GOLGA8A	Cluster_0
CHD5	Cluster_0
PKD1	Cluster_0
GRIN1	Cluster_0
KIAA1211L	Cluster_0
GOLGA8B	Cluster_0
PDXDC1	Cluster_0
LMF1	Cluster_0
FSTL4	Cluster_0
KIAA0930	Cluster_0
CLSTN2	Cluster_0
CACNA1E	Cluster_0
PCSK2	Cluster_0
PDZD2	Cluster_1
CUX2	Cluster_1
CBLN2	Cluster_1
KIAA1211L	Cluster_1
CDH22	Cluster_1
SLIT3	Cluster_1
GREB1L	Cluster_1
COL24A1	Cluster_1
FAM153C	Cluster_1
ST6GALNAC5	Cluster_1
FSTL4	Cluster_1
PCSK2	Cluster_1
PTPRR	Cluster_1
PTK2B	Cluster_1
RASGRF2	Cluster_1
FAM153B	Cluster_1
LMF1	Cluster_1
CDH9	Cluster_1
SMAD3	Cluster_1
GNAL	Cluster_1
NDST3	Cluster_1
CA10	Cluster_1
ITPR1	Cluster_1
NGEF	Cluster_1
RAPGEF5	Cluster_1
NECAB1	Cluster_1
GSG1L	Cluster_1
SLC22A10	Cluster_1
CACNA1E	Cluster_1
ACTN1	Cluster_1
CAMKK1	Cluster_1
SV2B	Cluster_1
TIMP3	Cluster_1
DIAPH2	Cluster_1
NIPAL2	Cluster_1
COL26A1	Cluster_1
CAMK2A	Cluster_1
RCAN2	Cluster_1
FAM153A	Cluster_1
NLK	Cluster_1
CACNG3	Cluster_1
ZFPM2	Cluster_1
GRM1	Cluster_1
SATB2	Cluster_1
SHANK2	Cluster_1
NIN	Cluster_1
ATP2B4	Cluster_1
GALNT13	Cluster_1
CIT	Cluster_1
PTPRO	Cluster_1
KCTD1	Cluster_1
CALN1	Cluster_1
SNTB2	Cluster_1
SEZ6L	Cluster_1
RTN4RL1	Cluster_1
MLIP	Cluster_1
PTPRB	Cluster_1
ABLIM2	Cluster_1
ZDHHC14	Cluster_1
ARFGEF3	Cluster_1
DOK6	Cluster_1
CNKSR2	Cluster_1
GALNT18	Cluster_1
KCNK1	Cluster_1
BRINP2	Cluster_1
GABRA2	Cluster_1
ATP6V1H	Cluster_1
SYBU	Cluster_1
KSR2	Cluster_1
SH3GL2	Cluster_1
TLN2	Cluster_1
DTNB	Cluster_1
CDH13	Cluster_1
RPS6KC1	Cluster_1
CNTN3	Cluster_1
MBNL2	Cluster_1
SNED1	Cluster_1
EPB41L2	Cluster_1
NWD2	Cluster_1
EPB41L4B	Cluster_1
CAMK4	Cluster_1
LNX1	Cluster_1
AK5	Cluster_1
KCNH1	Cluster_1
MPPED2	Cluster_1
RFX3	Cluster_1
PTPN13	Cluster_1
ADCY1	Cluster_1
LRFN2	Cluster_1
RBFOX3	Cluster_1
PLXNA2	Cluster_1
ADCY9	Cluster_1
KLHL2	Cluster_1
PPP2R2C	Cluster_1
EPB41L3	Cluster_1
ROCK2	Cluster_1
VSNL1	Cluster_1
NEDD4L	Cluster_1
PAK1	Cluster_1
ADAM23	Cluster_1
CUX1	Cluster_1
ITGA9	Cluster_1
TRERF1	Cluster_1
CAMK2B	Cluster_1
SLIT2	Cluster_1
PPM1L	Cluster_1
WASF1	Cluster_1
PRKAG2	Cluster_1
SPECC1	Cluster_1
FLRT2	Cluster_1
SPATS2	Cluster_1
BSN	Cluster_1
BRINP1	Cluster_1
PPP1R16B	Cluster_1
MTA3	Cluster_1
RNF144A	Cluster_1
LONRF2	Cluster_1
ELL2	Cluster_1
FBXO34	Cluster_1
GRIK4	Cluster_1
PGBD5	Cluster_1
FBXW7	Cluster_1
PITPNM2	Cluster_1
RAPGEF2	Cluster_1
ARMC9	Cluster_1
TNPO1	Cluster_1
GFOD1	Cluster_1
RNF115	Cluster_1
SECISBP2L	Cluster_1
EXOC6	Cluster_1
CNDP1	Cluster_10
ABCA8	Cluster_10
SHROOM4	Cluster_10
MOG	Cluster_10
ST18	Cluster_10
SLC5A11	Cluster_10
FAM107B	Cluster_10
CERCAM	Cluster_10
CARNS1	Cluster_10
C10orf90	Cluster_10
RNF220	Cluster_10
SLCO1A2	Cluster_10
TMEM144	Cluster_10
DOCK5	Cluster_10
FA2H	Cluster_10
KCNH8	Cluster_10
LDB3	Cluster_10
CTNNA3	Cluster_10
ENPP2	Cluster_10
MBP	Cluster_10
BCAS1	Cluster_10
TF	Cluster_10
MOBP	Cluster_10
COL4A5	Cluster_10
PIP4K2A	Cluster_10
FRMD4B	Cluster_10
PLEKHH1	Cluster_10
MYO1E	Cluster_10
PLD1	Cluster_10
HHIP	Cluster_10
RP11-654K19.6	Cluster_10
CDK18	Cluster_10
ATP10B	Cluster_10
LPAR1	Cluster_10
ELMO1	Cluster_10
CLMN	Cluster_10
PALM2	Cluster_10
DAAM2	Cluster_10
PLA2G16	Cluster_10
CREB5	Cluster_10
DOCK10	Cluster_10
TMEM165	Cluster_10
GLDN	Cluster_10
POLR2F	Cluster_10
PXK	Cluster_10
SLAIN1	Cluster_10
PHLDB1	Cluster_10
SLC44A1	Cluster_10
KIF6	Cluster_10
PRUNE2	Cluster_10
RFTN2	Cluster_10
GSN	Cluster_10
HIP1	Cluster_10
SLC24A2	Cluster_10
DIP2B	Cluster_10
ENOSF1	Cluster_10
SGK1	Cluster_10
PCSK6	Cluster_10
FGFR2	Cluster_10
NCKAP5	Cluster_10
MAN2A1	Cluster_10
PDE8A	Cluster_10
SHTN1	Cluster_10
