Gene	cluster
CUX2	Exc_L2-3_LINC00507_FREM3
PDZD2	Exc_L2-3_LINC00507_FREM3
FAM153C	Exc_L2-3_LINC00507_FREM3
KIAA1211L	Exc_L2-3_LINC00507_FREM3
FAM153B	Exc_L2-3_LINC00507_FREM3
SLIT3	Exc_L2-3_LINC00507_FREM3
ST6GALNAC5	Exc_L2-3_LINC00507_FREM3
LMF1	Exc_L2-3_LINC00507_FREM3
FSTL4	Exc_L2-3_LINC00507_FREM3
RAPGEF5	Exc_L2-3_LINC00507_FREM3
CA10	Exc_L2-3_LINC00507_FREM3
PCSK2	Exc_L2-3_LINC00507_FREM3
NECAB1	Exc_L2-3_LINC00507_FREM3
SHANK2	Exc_L2-3_LINC00507_FREM3
CAMKK1	Exc_L2-3_LINC00507_FREM3
SNED1	Exc_L2-3_LINC00507_FREM3
CACNA1E	Exc_L2-3_LINC00507_FREM3
GOLGA8A	Exc_L2-3_LINC00507_FREM3
RBFOX3	Exc_L2-3_LINC00507_FREM3
FAM153A	Exc_L2-3_LINC00507_FREM3
SV2B	Exc_L2-3_LINC00507_FREM3
CIT	Exc_L2-3_LINC00507_FREM3
CAMK2A	Exc_L2-3_LINC00507_FREM3
ITPR1	Exc_L2-3_LINC00507_FREM3
GRIN1	Exc_L2-3_LINC00507_FREM3
CNKSR2	Exc_L2-3_LINC00507_FREM3
ABLIM2	Exc_L2-3_LINC00507_FREM3
CHD5	Exc_L2-3_LINC00507_FREM3
NIN	Exc_L2-3_LINC00507_FREM3
CALN1	Exc_L2-3_LINC00507_FREM3
PTPRR	Exc_L2-3_LINC00507_FREM3
NDST3	Exc_L2-3_LINC00507_FREM3
DNM1	Exc_L2-3_LINC00507_FREM3
AK5	Exc_L2-3_LINC00507_FREM3
NLK	Exc_L2-3_LINC00507_FREM3
ACAP3	Exc_L2-3_LINC00507_FREM3
CABP1	Exc_L2-3_LINC00507_FREM3
GOLGA8B	Exc_L2-3_LINC00507_FREM3
CAMK2B	Exc_L2-3_LINC00507_FREM3
GRM1	Exc_L2-3_LINC00507_FREM3
GALNT18	Exc_L2-3_LINC00507_FREM3
CHN1	Exc_L2-3_LINC00507_FREM3
SLC22A10	Exc_L2-3_LINC00507_FREM3
CACNG3	Exc_L2-3_LINC00507_FREM3
PRKAG2	Exc_L2-3_LINC00507_FREM3
RASGRF2	Exc_L2-3_LINC00507_FREM3
CNTN3	Exc_L2-3_LINC00507_FREM3
PKD1	Exc_L2-3_LINC00507_FREM3
RCAN2	Exc_L2-3_LINC00507_FREM3
CDH9	Exc_L2-3_LINC00507_FREM3
MICAL2	Exc_L2-3_LINC00507_FREM3
PPP2R2C	Exc_L2-3_LINC00507_FREM3
ARFGEF3	Exc_L2-3_LINC00507_FREM3
ADAM23	Exc_L2-3_LINC00507_FREM3
CELF5	Exc_L2-3_LINC00507_FREM3
PDXDC1	Exc_L2-3_LINC00507_FREM3
ZFPM2	Exc_L2-3_LINC00507_FREM3
SH3GL2	Exc_L2-3_LINC00507_FREM3
PTPRO	Exc_L2-3_LINC00507_FREM3
PTPRS	Exc_L2-3_LINC00507_FREM3
SRRM3	Exc_L2-3_LINC00507_FREM3
RPS6KC1	Exc_L2-3_LINC00507_FREM3
MBNL2	Exc_L2-3_LINC00507_FREM3
ROCK2	Exc_L2-3_LINC00507_FREM3
CUX1	Exc_L2-3_LINC00507_FREM3
FAT3	Exc_L2-3_LINC00507_FREM3
ZDHHC14	Exc_L2-3_LINC00507_FREM3
RFX3	Exc_L2-3_LINC00507_FREM3
KIAA0930	Exc_L2-3_LINC00507_FREM3
PAK1	Exc_L2-3_LINC00507_FREM3
RAP1GAP2	Exc_L2-3_LINC00507_FREM3
TLN2	Exc_L2-3_LINC00507_FREM3
ZFYVE28	Exc_L2-3_LINC00507_FREM3
HSPA12A	Exc_L2-3_LINC00507_FREM3
MYH10	Exc_L2-3_LINC00507_FREM3
NEDD4L	Exc_L2-3_LINC00507_FREM3
BRINP1	Exc_L2-3_LINC00507_FREM3
EPB41L3	Exc_L2-3_LINC00507_FREM3
FBXW7	Exc_L2-3_LINC00507_FREM3
SLC2A13	Exc_L2-3_LINC00507_FREM3
PDE4DIP	Exc_L2-3_LINC00507_FREM3
SCN8A	Exc_L2-3_LINC00507_FREM3
SPTAN1	Exc_L2-3_LINC00507_FREM3
RAPGEF2	Exc_L2-3_LINC00507_FREM3
CSMD2	Exc_L2-3_LINC00507_FREM3
MOG	Oligo_L1-6_OPALIN_NA
ST18	Oligo_L1-6_OPALIN_NA
FAM107B	Oligo_L1-6_OPALIN_NA
SHROOM4	Oligo_L1-6_OPALIN_NA
RNF220	Oligo_L1-6_OPALIN_NA
CERCAM	Oligo_L1-6_OPALIN_NA
CNDP1	Oligo_L1-6_OPALIN_NA
C10orf90	Oligo_L1-6_OPALIN_NA
CARNS1	Oligo_L1-6_OPALIN_NA
FA2H	Oligo_L1-6_OPALIN_NA
TMEM144	Oligo_L1-6_OPALIN_NA
SLC5A11	Oligo_L1-6_OPALIN_NA
KCNH8	Oligo_L1-6_OPALIN_NA
ENPP2	Oligo_L1-6_OPALIN_NA
MOBP	Oligo_L1-6_OPALIN_NA
CTNNA3	Oligo_L1-6_OPALIN_NA
LDB3	Oligo_L1-6_OPALIN_NA
MBP	Oligo_L1-6_OPALIN_NA
TF	Oligo_L1-6_OPALIN_NA
DOCK5	Oligo_L1-6_OPALIN_NA
BCAS1	Oligo_L1-6_OPALIN_NA
FRMD4B	Oligo_L1-6_OPALIN_NA
PLEKHH1	Oligo_L1-6_OPALIN_NA
COL4A5	Oligo_L1-6_OPALIN_NA
PIP4K2A	Oligo_L1-6_OPALIN_NA
HHIP	Oligo_L1-6_OPALIN_NA
LPAR1	Oligo_L1-6_OPALIN_NA
CLMN	Oligo_L1-6_OPALIN_NA
PLD1	Oligo_L1-6_OPALIN_NA
CREB5	Oligo_L1-6_OPALIN_NA
RP11-654K19.6	Oligo_L1-6_OPALIN_NA
PALM2	Oligo_L1-6_OPALIN_NA
DOCK10	Oligo_L1-6_OPALIN_NA
CDK18	Oligo_L1-6_OPALIN_NA
ATP10B	Oligo_L1-6_OPALIN_NA
DAAM2	Oligo_L1-6_OPALIN_NA
ELMO1	Oligo_L1-6_OPALIN_NA
POLR2F	Oligo_L1-6_OPALIN_NA
PLA2G16	Oligo_L1-6_OPALIN_NA
PHLDB1	Oligo_L1-6_OPALIN_NA
SLC44A1	Oligo_L1-6_OPALIN_NA
SLAIN1	Oligo_L1-6_OPALIN_NA
TMEM165	Oligo_L1-6_OPALIN_NA
GSN	Oligo_L1-6_OPALIN_NA
PXK	Oligo_L1-6_OPALIN_NA
SLC24A2	Oligo_L1-6_OPALIN_NA
KIF6	Oligo_L1-6_OPALIN_NA
FGFR2	Oligo_L1-6_OPALIN_NA
GLDN	Oligo_L1-6_OPALIN_NA
DIP2B	Oligo_L1-6_OPALIN_NA
SGK1	Oligo_L1-6_OPALIN_NA
ERBIN	Oligo_L1-6_OPALIN_NA
RFTN2	Oligo_L1-6_OPALIN_NA
ENOSF1	Oligo_L1-6_OPALIN_NA
PDE8A	Oligo_L1-6_OPALIN_NA
PCSK6	Oligo_L1-6_OPALIN_NA
HIP1	Oligo_L1-6_OPALIN_NA
KIF13B	Oligo_L1-6_OPALIN_NA
NCKAP5	Oligo_L1-6_OPALIN_NA
TMTC2	Oligo_L1-6_OPALIN_NA
GAB1	Oligo_L1-6_OPALIN_NA
CHD7	Oligo_L1-6_OPALIN_NA
EDIL3	Oligo_L1-6_OPALIN_NA
PRUNE2	Oligo_L1-6_OPALIN_NA
ZNF536	Oligo_L1-6_OPALIN_NA
SHTN1	Oligo_L1-6_OPALIN_NA
MTUS1	Oligo_L1-6_OPALIN_NA
PLCL1	Oligo_L1-6_OPALIN_NA
FRYL	Oligo_L1-6_OPALIN_NA
SYNJ2	Oligo_L1-6_OPALIN_NA
MAN2A1	Oligo_L1-6_OPALIN_NA
TCF12	Oligo_L1-6_OPALIN_NA
FUT8	Oligo_L1-6_OPALIN_NA
SEMA4D	Oligo_L1-6_OPALIN_NA
PLP1	Oligo_L1-6_OPALIN_NA
TTLL7	Oligo_L1-6_OPALIN_NA
TRIM2	Oligo_L1-6_OPALIN_NA
PHLPP1	Oligo_L1-6_OPALIN_NA
ZEB2	Oligo_L1-6_OPALIN_NA
DLG1	Oligo_L1-6_OPALIN_NA
DNAJC6	Oligo_L1-6_OPALIN_NA
HIPK2	Oligo_L1-6_OPALIN_NA
SEPT7	Oligo_L1-6_OPALIN_NA
MOB3B	Oligo_L1-6_OPALIN_NA
ATG4C	Oligo_L1-6_OPALIN_NA
DOCK1	Oligo_L1-6_OPALIN_NA
ZFYVE16	Oligo_L1-6_OPALIN_NA
MYO1D	Oligo_L1-6_OPALIN_NA
PIK3C2B	Oligo_L1-6_OPALIN_NA
PREX1	Oligo_L1-6_OPALIN_NA
ABCA2	Oligo_L1-6_OPALIN_NA
ADIPOR2	Oligo_L1-6_OPALIN_NA
RYBP	Oligo_L1-6_OPALIN_NA
ST6GALNAC3	Oligo_L1-6_OPALIN_NA
ARAP2	Oligo_L1-6_OPALIN_NA
APBB2	Oligo_L1-6_OPALIN_NA
PSEN1	Oligo_L1-6_OPALIN_NA
CDK19	Oligo_L1-6_OPALIN_NA
MAP4K4	Oligo_L1-6_OPALIN_NA
KANK1	Oligo_L1-6_OPALIN_NA
COLGALT2	Oligo_L1-6_OPALIN_NA
LPGAT1	Oligo_L1-6_OPALIN_NA
ANO4	Oligo_L1-6_OPALIN_NA
JAM3	Oligo_L1-6_OPALIN_NA
SLCO3A1	Oligo_L1-6_OPALIN_NA
MAP7	Oligo_L1-6_OPALIN_NA
KLHL32	Oligo_L1-6_OPALIN_NA
SPOCK3	Oligo_L1-6_OPALIN_NA
SH3D19	Oligo_L1-6_OPALIN_NA
NPC1	Oligo_L1-6_OPALIN_NA
ZBTB20	Oligo_L1-6_OPALIN_NA
AGPAT4	Oligo_L1-6_OPALIN_NA
PDE1C	Oligo_L1-6_OPALIN_NA
NCOA7	Oligo_L1-6_OPALIN_NA
ARHGAP21	Oligo_L1-6_OPALIN_NA
SCD5	Oligo_L1-6_OPALIN_NA
FAM13C	Oligo_L1-6_OPALIN_NA
SH3GL3	Oligo_L1-6_OPALIN_NA
SPATA6	Oligo_L1-6_OPALIN_NA
COBL	Oligo_L1-6_OPALIN_NA
GAB2	Oligo_L1-6_OPALIN_NA
RBPJ	Oligo_L1-6_OPALIN_NA
LIPA	Oligo_L1-6_OPALIN_NA
KIAA1324L	Oligo_L1-6_OPALIN_NA
RAD51B	Oligo_L1-6_OPALIN_NA
SLC22A15	Oligo_L1-6_OPALIN_NA
TMEFF2	Oligo_L1-6_OPALIN_NA
LANCL1	Oligo_L1-6_OPALIN_NA
PTBP2	Oligo_L1-6_OPALIN_NA
PICALM	Oligo_L1-6_OPALIN_NA
HS3ST5	Oligo_L1-6_OPALIN_NA
PTPRK	Oligo_L1-6_OPALIN_NA
KIF13A	Oligo_L1-6_OPALIN_NA
IQGAP1	Oligo_L1-6_OPALIN_NA
PLXDC2	Oligo_L1-6_OPALIN_NA
GNG7	Oligo_L1-6_OPALIN_NA
ANKRD44	Oligo_L1-6_OPALIN_NA
SEC14L5	Oligo_L1-6_OPALIN_NA
OSBPL1A	Oligo_L1-6_OPALIN_NA
DLC1	Oligo_L1-6_OPALIN_NA
PPP2R3A	Oligo_L1-6_OPALIN_NA
BIN1	Oligo_L1-6_OPALIN_NA
MBNL2	Oligo_L1-6_OPALIN_NA
ZNF652	Oligo_L1-6_OPALIN_NA
GRM3	Oligo_L1-6_OPALIN_NA
RTN4	Oligo_L1-6_OPALIN_NA
BBX	Oligo_L1-6_OPALIN_NA
SLC12A2	Oligo_L1-6_OPALIN_NA
KCNMB4	Oligo_L1-6_OPALIN_NA
CNTNAP4	Oligo_L1-6_OPALIN_NA
ZHX2	Oligo_L1-6_OPALIN_NA
PPM1H	Oligo_L1-6_OPALIN_NA
ELF2	Oligo_L1-6_OPALIN_NA
FBXL7	Oligo_L1-6_OPALIN_NA
PSME4	Oligo_L1-6_OPALIN_NA
PLPPR1	Oligo_L1-6_OPALIN_NA
ALCAM	Oligo_L1-6_OPALIN_NA
CDC14B	Oligo_L1-6_OPALIN_NA
C9orf3	Oligo_L1-6_OPALIN_NA
SLC9A9	Oligo_L1-6_OPALIN_NA
P2RX7	Oligo_L1-6_OPALIN_NA
CPQ	Oligo_L1-6_OPALIN_NA
CALD1	Oligo_L1-6_OPALIN_NA
AP3B1	Oligo_L1-6_OPALIN_NA
PPP2R2A	Oligo_L1-6_OPALIN_NA
PPP1R16B	Oligo_L1-6_OPALIN_NA
PSD3	Oligo_L1-6_OPALIN_NA
SORT1	Oligo_L1-6_OPALIN_NA
WSB1	Oligo_L1-6_OPALIN_NA
SERINC5	Oligo_L1-6_OPALIN_NA
SGK3	Oligo_L1-6_OPALIN_NA
ZNF638	Oligo_L1-6_OPALIN_NA
FNBP1	Oligo_L1-6_OPALIN_NA
SGMS1	Oligo_L1-6_OPALIN_NA
TECPR2	Oligo_L1-6_OPALIN_NA
MVB12B	Oligo_L1-6_OPALIN_NA
PPP1R21	Oligo_L1-6_OPALIN_NA
EPN2	Oligo_L1-6_OPALIN_NA
STARD13	Oligo_L1-6_OPALIN_NA
RNF130	Oligo_L1-6_OPALIN_NA
SMURF1	Oligo_L1-6_OPALIN_NA
SAMD4B	Oligo_L1-6_OPALIN_NA
FNIP2	Oligo_L1-6_OPALIN_NA
ATP8A1	Oligo_L1-6_OPALIN_NA
PHYHIPL	Oligo_L1-6_OPALIN_NA
BAZ2B	Oligo_L1-6_OPALIN_NA
RNF13	Oligo_L1-6_OPALIN_NA
ZKSCAN1	Oligo_L1-6_OPALIN_NA
WDR20	Oligo_L1-6_OPALIN_NA
AATK	Oligo_L1-6_OPALIN_NA
NFASC	Oligo_L1-6_OPALIN_NA
ANKIB1	Oligo_L1-6_OPALIN_NA
PTPRJ	Oligo_L1-6_OPALIN_NA
PKP4	Oligo_L1-6_OPALIN_NA
ACER3	Oligo_L1-6_OPALIN_NA
SRCIN1	Oligo_L1-6_OPALIN_NA
RAP1A	Oligo_L1-6_OPALIN_NA
MAP4K5	Oligo_L1-6_OPALIN_NA
FCHSD2	Oligo_L1-6_OPALIN_NA
KDM6A	Oligo_L1-6_OPALIN_NA
ZNF644	Oligo_L1-6_OPALIN_NA
ANKRD28	Oligo_L1-6_OPALIN_NA
PPM1B	Oligo_L1-6_OPALIN_NA
TULP4	Oligo_L1-6_OPALIN_NA
ZNF565	Oligo_L1-6_OPALIN_NA
WDFY2	Oligo_L1-6_OPALIN_NA
HSP90AA1	Oligo_L1-6_OPALIN_NA
IGSF11	Oligo_L1-6_OPALIN_NA
CCNY	Oligo_L1-6_OPALIN_NA
ATM	Oligo_L1-6_OPALIN_NA
DENND5A	Oligo_L1-6_OPALIN_NA
EVA1C	Oligo_L1-6_OPALIN_NA
MAML2	Oligo_L1-6_OPALIN_NA
FAR1	Oligo_L1-6_OPALIN_NA
RAB30	Oligo_L1-6_OPALIN_NA
DICER1	Oligo_L1-6_OPALIN_NA
MGAT5	Oligo_L1-6_OPALIN_NA
ELL2	Oligo_L1-6_OPALIN_NA
OSBPL9	Oligo_L1-6_OPALIN_NA
ATE1	Oligo_L1-6_OPALIN_NA
NFIA	Oligo_L1-6_OPALIN_NA
CDK17	Oligo_L1-6_OPALIN_NA
FAM134B	Oligo_L1-6_OPALIN_NA
NAALADL2	Oligo_L1-6_OPALIN_NA
ZDHHC20	Oligo_L1-6_OPALIN_NA
DDX17	Oligo_L1-6_OPALIN_NA
NFE2L2	Oligo_L1-6_OPALIN_NA
EPS15	Oligo_L1-6_OPALIN_NA
MDM4	Oligo_L1-6_OPALIN_NA
ANAPC5	Oligo_L1-6_OPALIN_NA
SLC22A23	Oligo_L1-6_OPALIN_NA
ADD1	Oligo_L1-6_OPALIN_NA
NSMCE2	Oligo_L1-6_OPALIN_NA
RICTOR	Oligo_L1-6_OPALIN_NA
SNX29	Oligo_L1-6_OPALIN_NA
NEO1	Oligo_L1-6_OPALIN_NA
PEAK1	Oligo_L1-6_OPALIN_NA
CHKA	Oligo_L1-6_OPALIN_NA
MEF2A	Oligo_L1-6_OPALIN_NA
SECISBP2L	Oligo_L1-6_OPALIN_NA
SDCCAG8	Oligo_L1-6_OPALIN_NA
ITCH	Oligo_L1-6_OPALIN_NA
MEGF9	Oligo_L1-6_OPALIN_NA
ACYP2	Oligo_L1-6_OPALIN_NA
CCNH	Oligo_L1-6_OPALIN_NA
PHACTR4	Oligo_L1-6_OPALIN_NA
