Delta_LR	Theta_LR	Alpha_LR	Beta_LR	Gamma_LR	High.Gamma_LR
MEblack	-0.205882352941176	-0.0147058823529412	0.0882352941176471	0.355882352941176	0.273529411764706	-0.0382352941176471
MEblue	0.438235294117647	0.244117647058824	0.138235294117647	-0.364705882352941	-0.405882352941176	0.0970588235294118
MEbrown	-0.358823529411765	-0.205882352941176	-0.0823529411764706	0.170588235294118	0.385294117647059	-0.117647058823529
MEcyan	0.502941176470588	0.45	0.247058823529412	-0.191176470588235	-0.544117647058823	0.341176470588235
MEdarkgreen	0.0970588235294118	0.0176470588235294	0.0794117647058823	0.0794117647058823	-0.205882352941176	-0.161764705882353
MEdarkgrey	-0.0705882352941176	0.0588235294117647	0.2	0.15	0.191176470588235	-0.0470588235294118
MEdarkorange	0.326470588235294	0.229411764705882	0.261764705882353	0.0441176470588235	-0.273529411764706	0.05
MEdarkred	-0.114705882352941	-0.323529411764706	-0.211764705882353	-0.232352941176471	0.188235294117647	0.126470588235294
MEdarkturquoise	-0.114705882352941	0.123529411764706	0	0.0235294117647059	0.0882352941176471	-0.0647058823529412
MEgreen	0.358823529411765	0.455882352941176	0.291176470588235	0.0588235294117647	-0.311764705882353	-0.0558823529411765
MEgreenyellow	-0.217647058823529	0.0735294117647059	0.170588235294118	0.514705882352941	0.152941176470588	-0.467647058823529
MEgrey60	0.5	0.167647058823529	0.0705882352941176	-0.297058823529412	-0.364705882352941	0.241176470588235
MElightcyan	-0.138235294117647	0.111764705882353	0.164705882352941	0.45	0.247058823529412	-0.141176470588235
MElightgreen	-0.0382352941176471	-0.205882352941176	-0.144117647058824	-0.261764705882353	-0.126470588235294	0.108823529411765
MElightyellow	0.0176470588235294	0.182352941176471	0.0411764705882353	0.0852941176470588	0.1	0.0970588235294118
MEmagenta	-0.179411764705882	-0.302941176470588	-0.182352941176471	-0.194117647058824	0.117647058823529	0.00588235294117647
MEmidnightblue	0.194117647058824	0.0441176470588235	0.0235294117647059	-0.311764705882353	-0.320588235294118	-0.0147058823529412
MEorange	-0.25	-0.0911764705882353	-0.0147058823529412	0.255882352941176	0.285294117647059	0.0205882352941176
MEpink	0.247058823529412	-0.0352941176470588	-0.0852941176470588	-0.561764705882353	-0.297058823529412	0.317647058823529
MEpurple	-0.0764705882352941	-0.238235294117647	-0.241176470588235	-0.494117647058823	0.105882352941176	0.405882352941176
MEred	-0.65	-0.391176470588235	-0.323529411764706	0.15	0.494117647058823	-0.138235294117647
MEroyalblue	-0.0676470588235294	0.173529411764706	0.291176470588235	0.594117647058824	-0.0205882352941176	-0.411764705882353
MEsalmon	0.211764705882353	0.394117647058824	0.4	0.355882352941176	-0.2	-0.308823529411765
MEtan	-0.314705882352941	-0.188235294117647	-0.220588235294118	0.117647058823529	0.470588235294118	0.120588235294118
MEturquoise	0.341176470588235	0.355882352941176	0.205882352941176	-0.0823529411764706	-0.335294117647059	-0.0205882352941176
MEyellow	-0.258823529411765	-0.376470588235294	-0.252941176470588	-0.197058823529412	0.332352941176471	0.25
