Delta	Theta	Alpha	Beta	Gamma	High.Gamma	STG_GM_Thickness_mm	Perc_recall
MEblack	0.879653614931831	0.688288293957414	0.36221349614195	0.379994987301947	0.350391479107202	0.956891924031642	0.527609768861268	0.672291046599723
MEblue	0.948280150054711	0.520407514448741	0.263863014613523	0.364839380841476	0.602002683881979	0.688288293957414	0.471289728362107	0.513250596736467
MEbrown	0.556861281085539	0.424559233620103	0.338789908071246	0.232496157831228	0.602002683881979	0.380355801188657	0.549483143403693	0.896753247693533
MEcyan	0.712516370128278	0.896753247693533	0.609665940750183	0.909540098038984	0.571744619245462	0.63288233246826	0.418086841611303	0.542148135201078
MEdarkgreen	0.922480570501729	0.811821451310593	0.268846554622893	0.373892027992491	0.862603694666873	0.411666430497963	0.39272049088162	0.939673739789045
MEdarkgrey	0.803420313796669	0.704410381816771	0.795039302337628	0.477833995485699	0.4990748572458	0.594378288173693	0.294617653568415	0.974127994662394
MEdarkorange	0.965508169895628	0.956891924031642	0.549483143403693	0.520095742090132	0.14385924954389	0.991374804556362	0.398982926641289	0.527609768861268
MEdarkred	0.294617653568415	0.386511349907985	0.444284641052144	0.470956993536858	0.672291046599723	0.485086609145468	0.770025319039825	0.0994991119375398
MEdarkturquoise	0.811821451310593	0.837137221795472	0.956891924031642	0.437313601294723	0.828680750033226	0.418086841611303	0.374254129727988	0.226045422207982
MEgreen	0.104767513929187	0.0919523585057293	0.16123235767559	0.294247430857814	0.471289728362107	0.310760627102335	0.879653614931831	0.398982926641289
MEgreenyellow	0.424559233620103	0.828680750033226	0.464464211225739	0.926722363011618	0.278984459737083	0.316254418548309	0.289349829063274	0.294617653568415
MEgrey60	0.63288233246826	0.305323156307405	0.549483143403693	0.185498978789089	0.761733078752474	0.36221349614195	0.72881442702398	0.478164012817028
MElightcyan	0.424559233620103	0.786679249125857	0.745222094367133	0.782350828546604	0.249254298928919	0.888197653985307	0.398982926641289	0.278984459737083
MElightgreen	0.154122469896848	0.179958657884982	0.854099552129744	0.794891424768872	0.542148135201078	0.350391479107202	0.405298347282759	0.305323156307405
MElightyellow	0.258936452562499	0.263863014613523	0.965508169895628	0.978423102046643	0.753465069474783	0.115887838148784	0.594378288173693	0.284138740159563
MEmagenta	0.0825369233953716	0.168558822503884	0.424559233620103	0.398626551259906	0.688288293957414	0.150648115287631	0.696334105038116	0.327410411812586
MEmidnightblue	0.542148135201078	0.82024187750449	0.327410411812586	0.430736187408534	0.4376585109498	0.594378288173693	0.811821451310593	0.72881442702398
MEorange	0.712516370128278	0.4376585109498	0.0620591741892262	0.082283951679468	0.284138740159563	0.982750504419135	0.862603694666873	0.720651308237203
MEpink	0.195932624867889	0.625106429151613	0.991374804556362	0.913832424633704	0.172303862892633	0.905319518791845	0.405298347282759	0.204254580845515
MEpurple	0.00400825239020936	0.041345806442249	0.0226632048441846	0.0609268639004862	0.268846554622893	0.761733078752474	0.737004950173659	0.060239302504316
MEred	0.520407514448741	0.327410411812586	0.121745762952543	0.0646399432305413	0.761733078752474	0.837137221795472	0.208499827982209	0.316254418548309
MEroyalblue	0.208499827982209	0.672291046599723	0.154122469896848	0.505821320079216	0.333072306633608	0.640694440816884	0.398982926641289	0.134071286197255
MEsalmon	0.235158319266344	0.464464211225739	0.0455816161239403	0.175763057604952	0.609665940750183	0.845610441149366	0.982750504419135	0.380355801188657
MEtan	0.939673739789045	0.828680750033226	0.356275041512577	0.567719718223305	0.828680750033226	0.982750504419135	0.492057050205944	0.506139539990439
MEturquoise	0.299942128492374	0.254066880609611	0.118791684532375	0.347103635876335	0.896753247693533	0.4576879050752	0.720651308237203	0.9138955872505
MEyellow	0.0825369233953716	0.130912854298991	0.0677608501901539	0.212444651508362	0.368206608042634	0.625106429151613	0.922480570501729	0.204254580845515
