VARIABLE	TYPE	NGENES	BETA	BETA_STD	SE	P	Sample
1	WM1	SET	219	-0.00843	-0.00091156	0.05961	0.55623	ADHD_2017
2	WM10	SET	364	0.04104	0.0056985	0.045909	0.18568	ADHD_2017
3	WM11	SET	201	0.08134	0.0084304	0.059218	0.084797	ADHD_2017
4	WM12	SET	115	0.26961	0.021186	0.087369	0.0010164	ADHD_2017
5	WM13	SET	105	0.075165	0.0056454	0.081255	0.17748	ADHD_2017
6	WM14	SET	91	0.091673	0.0064123	0.090698	0.15608	ADHD_2017
7	WM15	SET	98	0.17593	0.012768	0.09342	0.029846	ADHD_2017
8	WM16	SET	220	-0.019278	-0.0020893	0.054965	0.6371	ADHD_2017
9	WM17	SET	127	-0.025423	-0.0020987	0.072537	0.63701	ADHD_2017
10	WM18	SET	84	0.017738	0.0011923	0.09665	0.42719	ADHD_2017
11	WM19	SET	221	0.066897	0.0072664	0.052598	0.10172	ADHD_2017
12	WM2	SET	459	-0.019729	-0.0030682	0.037351	0.70132	ADHD_2017
13	WM20	SET	210	-0.038196	-0.0040455	0.057542	0.74659	ADHD_2017
14	WM21	SET	356	-0.026725	-0.0036707	0.048012	0.71111	ADHD_2017
15	WM22	SET	88	-0.040293	-0.0027717	0.088029	0.67642	ADHD_2017
16	WM23	SET	128	0.031589	0.0026179	0.069126	0.32385	ADHD_2017
17	WM24	SET	143	-0.075237	-0.0065877	0.076008	0.83887	ADHD_2017
18	WM25	SET	961	0.026803	0.0059468	0.027131	0.16161	ADHD_2017
19	WM26	SET	401	-0.0062486	-0.00090974	0.042916	0.55788	ADHD_2017
20	WM3	SET	457	-0.023589	-0.0036606	0.040891	0.71798	ADHD_2017
21	WM4	SET	130	0.09391	0.0078429	0.084723	0.13384	ADHD_2017
22	WM5	SET	77	0.16187	0.010419	0.091011	0.037661	ADHD_2017
23	WM6	SET	76	0.091386	0.005844	0.096403	0.17158	ADHD_2017
24	WM7	SET	78	0.075271	0.0048762	0.1006	0.22716	ADHD_2017
25	WM8	SET	87	-0.00060638	-4.1476e-05	0.091309	0.50265	ADHD_2017
26	WM9	SET	89	0.04969	0.0034375	0.084734	0.2788	ADHD_2017
27	WM1	SET	221	0.033949	0.003639	0.058163	0.27972	ALZ_2019
28	WM10	SET	365	-0.024566	-0.003371	0.046	0.70334	ALZ_2019
29	WM11	SET	201	-0.033494	-0.0034257	0.059561	0.71306	ALZ_2019
30	WM12	SET	115	-0.098228	-0.0076167	0.083672	0.87979	ALZ_2019
31	WM13	SET	105	0.020473	0.0015173	0.077014	0.39518	ALZ_2019
32	WM14	SET	94	-0.036548	-0.0025636	0.0842	0.66788	ALZ_2019
33	WM15	SET	99	0.10904	0.0078483	0.086046	0.10254	ALZ_2019
34	WM16	SET	221	-0.026667	-0.0028584	0.056109	0.6827	ALZ_2019
35	WM17	SET	129	-0.096088	-0.0078883	0.072761	0.90667	ALZ_2019
36	WM18	SET	84	-0.022731	-0.0015076	0.096363	0.59324	ALZ_2019
37	WM19	SET	225	0.073322	0.0079294	0.051367	0.076736	ALZ_2019
38	WM2	SET	475	0.018214	0.0028429	0.035747	0.30519	ALZ_2019
39	WM20	SET	212	0.016855	0.0017699	0.055401	0.38048	ALZ_2019
40	WM21	SET	357	0.011519	0.0015636	0.047573	0.40434	ALZ_2019
41	WM22	SET	88	-0.049001	-0.0033261	0.08436	0.71933	ALZ_2019
42	WM23	SET	130	0.075265	0.0062026	0.06676	0.1298	ALZ_2019
43	WM24	SET	144	0.0086982	0.00075415	0.072967	0.45256	ALZ_2019
44	WM25	SET	984	0.010889	0.0024124	0.025806	0.33653	ALZ_2019
45	WM26	SET	402	0.0026942	0.00038761	0.042011	0.47443	ALZ_2019
46	WM3	SET	458	0.032326	0.0049566	0.039609	0.20722	ALZ_2019
47	WM4	SET	131	0.010424	0.00086231	0.083638	0.45041	ALZ_2019
48	WM5	SET	77	0.16373	0.010399	0.091645	0.037011	ALZ_2019
49	WM6	SET	76	-0.0038418	-0.00024242	0.0913	0.51678	ALZ_2019
50	WM7	SET	79	-0.054866	-0.0035295	0.099912	0.70854	ALZ_2019
51	WM8	SET	88	0.025468	0.0017287	0.08845	0.3867	ALZ_2019
52	WM9	SET	90	0.10709	0.0073511	0.07701	0.082173	ALZ_2019
53	WM1	SET	220	-0.040798	-0.0043868	0.056119	0.76638	ASD_2017
54	WM10	SET	364	0.035458	0.0048851	0.044735	0.214	ASD_2017
55	WM11	SET	201	0.12035	0.012376	0.056629	0.016788	ASD_2017
56	WM12	SET	115	0.06909	0.0053862	0.083894	0.20511	ASD_2017
57	WM13	SET	105	0.046044	0.0034309	0.079516	0.28128	ASD_2017
58	WM14	SET	94	-0.004165	-0.00029373	0.082315	0.52018	ASD_2017
59	WM15	SET	99	0.06142	0.0044446	0.087383	0.24107	ASD_2017
60	WM16	SET	220	0.017851	0.0019194	0.054318	0.37122	ASD_2017
61	WM17	SET	128	-0.072583	-0.0059677	0.074017	0.83661	ASD_2017
62	WM18	SET	84	0.10044	0.0066974	0.097594	0.15172	ASD_2017
63	WM19	SET	225	0.0013589	0.00014775	0.050393	0.48924	ASD_2017
64	WM2	SET	469	-0.044652	-0.006963	0.034974	0.89914	ASD_2017
65	WM20	SET	212	0.046012	0.0048577	0.05434	0.19858	ASD_2017
66	WM21	SET	357	0.010421	0.0014221	0.046782	0.41186	ASD_2017
67	WM22	SET	88	0.041607	0.0028395	0.087135	0.3165	ASD_2017
68	WM23	SET	129	0.13105	0.010817	0.067077	0.025375	ASD_2017
69	WM24	SET	143	0.016576	0.00144	0.069422	0.40564	ASD_2017
70	WM25	SET	979	0.026444	0.0058744	0.026141	0.15587	ASD_2017
71	WM26	SET	402	0.019873	0.0028743	0.04233	0.31937	ASD_2017
72	WM3	SET	457	-0.0017216	-0.00026509	0.039166	0.51753	ASD_2017
73	WM4	SET	130	0.23792	0.019713	0.082112	0.001883	ASD_2017
74	WM5	SET	77	-0.1777	-0.011348	0.089394	0.97658	ASD_2017
75	WM6	SET	76	0.12301	0.0078037	0.092343	0.091431	ASD_2017
76	WM7	SET	79	-0.02393	-0.0015477	0.10135	0.59332	ASD_2017
77	WM8	SET	88	-0.018045	-0.0012315	0.088105	0.58114	ASD_2017
78	WM9	SET	89	0.055852	0.0038332	0.080654	0.24432	ASD_2017
79	WM1	SET	221	-0.06546	-0.0070435	0.060623	0.85988	BIP_2018
80	WM10	SET	365	0.10253	0.014123	0.047793	0.015973	BIP_2018
81	WM11	SET	201	-0.03047	-0.0031284	0.059388	0.69605	BIP_2018
82	WM12	SET	115	0.24966	0.019433	0.092568	0.0035011	BIP_2018
83	WM13	SET	106	0.058723	0.0043894	0.081761	0.23631	BIP_2018
84	WM14	SET	94	-0.034129	-0.0024031	0.092077	0.64455	BIP_2018
85	WM15	SET	99	0.019165	0.0013847	0.095338	0.42034	BIP_2018
86	WM16	SET	221	0.020868	0.0022453	0.058104	0.35975	BIP_2018
87	WM17	SET	128	-0.014879	-0.0012214	0.077714	0.57591	BIP_2018
88	WM18	SET	84	-0.049618	-0.0033035	0.10499	0.68174	BIP_2018
89	WM19	SET	225	0.0064446	0.00069961	0.053619	0.45217	BIP_2018
90	WM2	SET	471	0.074226	0.011581	0.037602	0.024199	BIP_2018
91	WM20	SET	212	-0.0070306	-0.0007411	0.058443	0.54788	BIP_2018
92	WM21	SET	357	-0.0048944	-0.00066689	0.051268	0.53803	BIP_2018
93	WM22	SET	88	0.11668	0.0079502	0.092452	0.10348	BIP_2018
94	WM23	SET	130	0.028738	0.0023773	0.071837	0.34457	BIP_2018
95	WM24	SET	144	-0.022255	-0.001937	0.076296	0.61474	BIP_2018
96	WM25	SET	982	0.10715	0.023803	0.027994	6.4898e-05	BIP_2018
97	WM26	SET	402	0.0052369	0.00075629	0.044317	0.45297	BIP_2018
98	WM3	SET	458	-0.019539	-0.0030073	0.04176	0.68007	BIP_2018
99	WM4	SET	130	0.09343	0.0077291	0.086854	0.14104	BIP_2018
100	WM5	SET	77	0.09009	0.0057439	0.097478	0.17769	BIP_2018
101	WM6	SET	77	-0.10484	-0.0066841	0.098571	0.85623	BIP_2018
102	WM7	SET	79	0.21036	0.013585	0.1055	0.023089	BIP_2018
103	WM8	SET	88	-0.051365	-0.0035	0.096234	0.70324	BIP_2018
