Gene	Waves	Rho	Pval	BootP	PermP	BootP_All
1	AASDHPPT	Delta	0.641176470588235	0.00743441908253395	0.01	0.02	0
2	ABCE1	Delta	0.585294117647059	0.0172252866160948	0.01	0.01	0.01
3	ABL1	Delta	-0.629411764705882	0.00898808926444689	0.01	0	0.01
4	ABRACL	Delta	0.764705882352941	0.000559676294356745	0	0	0
5	AC003002.4	Delta	0.6	0.0140071223296	0	0	0.04
6	AC087350.1	Delta	0.635294117647059	0.00818206461633403	0.01	0	0.01
7	ACER1	Delta	-0.544117647058823	0.0293363374813766	0.04	0.04	0.04
8	ACIN1	Delta	-0.647058823529412	0.00674207700717987	0.02	0	0
9	ACOX3	Delta	-0.611764705882353	0.0117884050531152	0.02	0.01	0
10	ACP1	Delta	0.711764705882353	0.00198404324776996	0	0.01	0
11	ADCYAP1	Delta	0.582352941176471	0.0179327341310354	0.03	0.02	0.01
12	ADNP	Delta	-0.552941176470588	0.0263144998706666	0.02	0.03	0
13	ADO	Delta	0.608823529411765	0.0123152031982465	0.01	0.02	0.01
14	AHNAK	Delta	-0.617647058823529	0.0107879846019488	0.03	0.02	0
15	AKAP13	Delta	-0.647058823529412	0.00674207700717987	0.02	0	0
16	AKR1C3	Delta	0.567647058823529	0.021814592143743	0.04	0.02	0.03
17	ALDH1A1	Delta	0.591176470588235	0.0158755795556415	0.01	0.02	0
18	ALDH1L1	Delta	-0.576470588235294	0.0194151403865316	0.02	0.02	0.03
19	ALG10	Delta	0.644117647058823	0.00708152408658287	0.01	0	0.01
20	ALG10B	Delta	0.702941176470588	0.00238695266930094	0	0.01	0.01
21	ALG1L	Delta	0.576470588235294	0.0194151403865316	0.01	0.01	0.03
22	ALG9	Delta	0.6	0.0140071223296	0.01	0.02	0.03
23	ALOX5AP	Delta	0.588235294117647	0.0165397221953782	0.02	0.01	0.03
24	ANKRD23	Delta	-0.579411764705882	0.0186625294177119	0.02	0.03	0.02
25	ANPEP	Delta	-0.55	0.0272939727097307	0.01	0.03	0.02
26	AP5M1	Delta	0.629411764705882	0.00898808926444689	0	0.01	0.01
27	ARHGAP19-SLIT1	Delta	-0.614705882352941	0.011279474063305	0.01	0.03	0.02
28	ARID1A	Delta	-0.597058823529412	0.014609731954981	0.04	0.01	0
29	ARID5B	Delta	-0.720588235294118	0.00163819116387962	0.01	0	0
30	ARL5B	Delta	0.758823529411765	0.00065403023616479	0	0	0
31	ARMC1	Delta	0.702941176470588	0.00238695266930094	0.01	0	0
32	ARMC10	Delta	0.614705882352941	0.011279474063305	0.01	0.01	0.01
33	ARMC7	Delta	-0.629411764705882	0.00898808926444689	0.01	0	0
34	ARMT1	Delta	0.682352941176471	0.00358797041175672	0.01	0	0
35	ARPP19	Delta	0.620588235294118	0.0103135155496777	0	0.01	0
