Gene	Waves	Rho	Pval	BootP	PermP	BootP_All
1	AASS	Delta	-0.741176470588235	0.00101846954957367	0	0	0.01
2	AATF	Delta	-0.564705882352941	0.0226632048441846	0.03	0.02	0
3	ABHD17B	Delta	-0.561764705882353	0.023537016474281	0	0.02	0
4	ACBD5	Delta	-0.526470588235294	0.0361665149722456	0.03	0.03	0.03
5	ACD	Delta	0.708823529411765	0.00211168123925454	0	0	0
6	ACER3	Delta	-0.744117647058824	0.000948282785737869	0	0	0
7	ACOT4	Delta	0.614705882352941	0.011279474063305	0.03	0	0
8	ACRBP	Delta	-0.523529411764706	0.0374126481301495	0.01	0.04	0.02
9	ACSS2	Delta	-0.608823529411765	0.0123152031982464	0.02	0	0.02
10	ADAM12	Delta	-0.576470588235294	0.0194151403865316	0.02	0.02	0.02
11	ADAM23	Delta	0.588235294117647	0.0165397221953782	0.03	0.03	0.01
12	ADAMTS1	Delta	-0.538235294117647	0.0314932282058384	0.01	0.04	0.04
13	ADAMTS14	Delta	-0.647058823529412	0.00674207700717987	0.01	0	0
14	ADAMTS8	Delta	0.711764705882353	0.00198404324776996	0.01	0	0
15	ADAMTSL3	Delta	-0.641176470588235	0.00743441908253395	0	0.01	0.01
16	ADAR	Delta	0.6	0.0140071223296	0.01	0.01	0
17	ADARB1	Delta	0.626470588235294	0.00941397730678366	0.02	0.01	0.01
18	ADGRF5	Delta	0.526470588235294	0.0361665149722455	0.02	0.03	0.02
19	ADIPOR2	Delta	-0.570588235294118	0.0209906963682178	0.01	0.02	0.02
20	ADM	Delta	-0.508823529411765	0.0441352182349839	0.03	0.02	0.04
21	ADSSL1	Delta	-0.588235294117647	0.0165397221953781	0.02	0.01	0.02
22	AFF1	Delta	-0.541176470588235	0.0304002188881703	0.04	0.01	0.04
23	AFMID	Delta	-0.538235294117647	0.0314932282058384	0.02	0.03	0
24	AGBL1	Delta	0.564705882352941	0.0226632048441846	0.02	0.01	0.01
25	AGBL5	Delta	0.620588235294118	0.0103135155496777	0.01	0.01	0.01
26	AGTPBP1	Delta	-0.608823529411765	0.0123152031982464	0.01	0	0.01
27	AHSA2	Delta	-0.576470588235294	0.0194151403865316	0	0.02	0.02
28	AJAP1	Delta	0.597058823529412	0.014609731954981	0.01	0.04	0.02
29	AKAP1	Delta	0.564705882352941	0.0226632048441846	0.01	0	0.01
30	AKAP6	Delta	-0.552941176470588	0.0263144998706666	0.01	0.03	0.03
31	ALCAM	Delta	-0.679411764705882	0.00379343266915975	0	0	0.01
32	ALKBH7	Delta	0.620588235294118	0.0103135155496777	0.01	0.03	0.02
33	ALPK3	Delta	-0.620588235294118	0.0103135155496777	0.01	0	0.01
34	ALS2	Delta	0.65	0.0064157065211753	0	0	0.02
35	AMER1	Delta	0.570588235294118	0.0209906963682178	0.03	0.01	0.03
36	AMMECR1L	Delta	0.741176470588235	0.00101846954957367	0	0	0
37	AMPD3	Delta	-0.664705882352941	0.00496738593748203	0.01	0.01	0
38	ANAPC7	Delta	0.511764705882353	0.0427234481633318	0.04	0.03	0.02
39	ANGPTL2	Delta	-0.738235294117647	0.00109285081184815	0	0	0
