Gene	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
SLC1A2	0	3.153014832	0.978	0.244	0	Astro	SLC1A2
SLC1A3	0	2.954036125	0.976	0.186	0	Astro	SLC1A3
ADGRV1	0	2.881374353	0.963	0.166	0	Astro	ADGRV1
GPC5	0	2.625979476	0.96	0.318	0	Astro	GPC5
PITPNC1	0	2.390891417	0.949	0.224	0	Astro	PITPNC1
CDH20	0	2.324993992	0.924	0.22	0	Astro	CDH20
HPSE2	0	2.273382506	0.616	0.064	0	Astro	HPSE2
CABLES1	0	2.198733256	0.732	0.094	0	Astro	CABLES1
HIF3A	0	2.157700051	0.714	0.048	0	Astro	HIF3A
SLC14A1	0	2.150657246	0.567	0.03	0	Astro	SLC14A1
NKAIN3	0	2.146030933	0.906	0.217	0	Astro	NKAIN3
RANBP3L	0	2.095988079	0.589	0.022	0	Astro	RANBP3L
SLC25A18	0	2.030793728	0.607	0.027	0	Astro	SLC25A18
PAMR1	0	2.020814882	0.626	0.059	0	Astro	PAMR1
MSI2	0	2.019210843	0.847	0.188	0	Astro	MSI2
ATP1A2	0	2.015132694	0.683	0.054	0	Astro	ATP1A2
SLC4A4	0	1.981593767	0.696	0.12	0	Astro	SLC4A4
TPD52L1	0	1.974342051	0.637	0.056	0	Astro	TPD52L1
TRPM3	0	1.973960313	0.843	0.241	0	Astro	TRPM3
PREX2	0	1.96798923	0.65	0.07	0	Astro	PREX2
ZNRF3	0	1.889975514	0.744	0.153	0	Astro	ZNRF3
GNA14	0	1.88503753	0.546	0.04	0	Astro	GNA14
FBXL7	0	1.874006508	0.779	0.135	0	Astro	FBXL7
GPM6A	0	1.861363723	0.982	0.674	0	Astro	GPM6A
ETNPPL	0	1.854665582	0.527	0.03	0	Astro	ETNPPL
PARD3B	0	1.846557568	0.634	0.069	0	Astro	PARD3B
LIFR	0	1.840144919	0.645	0.085	0	Astro	LIFR
ACACB	0	1.83151343	0.52	0.028	0	Astro	ACACB
ZBTB20	0	1.830679118	0.908	0.294	0	Astro	ZBTB20
PARD3	0	1.828935628	0.77	0.15	0	Astro	PARD3
ACSS1	0	1.803817047	0.537	0.026	0	Astro	ACSS1
NHSL1	0	1.779317083	0.537	0.043	0	Astro	NHSL1
GRAMD3	0	1.759532845	0.548	0.052	0	Astro	GRAMD3
RYR3	0	1.758641942	0.837	0.261	0	Astro	RYR3
ACSBG1	0	1.683568873	0.44	0.016	0	Astro	ACSBG1
DTNA	0	1.608389103	0.955	0.52	0	Astro	DTNA
PAPLN	0	1.574526585	0.399	0.008	0	Astro	PAPLN
NPAS3	0	1.531297924	0.988	0.613	0	Astro	NPAS3
NTM	0	1.412994281	0.976	0.681	0	Astro	NTM
RORA	0	1.40349264	0.982	0.668	0	Astro	RORA
LSAMP	0	1.191110771	0.999	0.924	0	Astro	LSAMP
STON2	5.91E-295	1.612255395	0.423	0.018	9.83E-291	Astro	STON2
TNIK	2.87E-287	1.587819695	0.895	0.434	4.77E-283	Astro	TNIK
NPL	8.03E-287	1.680073517	0.484	0.039	1.34E-282	Astro	NPL
GLI3	1.51E-283	1.486277171	0.393	0.014	2.51E-279	Astro	GLI3
PRDM16	1.66E-283	1.507358293	0.359	0.006	2.76E-279	Astro	PRDM16
GLIS3	5.39E-283	1.700592609	0.643	0.117	8.97E-279	Astro	GLIS3
ATP13A4	5.96E-275	1.564518603	0.49	0.045	9.92E-271	Astro	ATP13A4
ITPR2	8.97E-269	1.615740947	0.679	0.146	1.49E-264	Astro	ITPR2
SLCO1C1	4.95E-264	1.442100897	0.372	0.013	8.23E-260	Astro	SLCO1C1
ITPKB	8.46E-263	1.574519894	0.416	0.026	1.41E-258	Astro	ITPKB
NFIA	3.76E-259	1.557272747	0.714	0.181	6.25E-255	Astro	NFIA
RP11-281A20.3	2.47E-257	1.660489674	0.381	0.018	4.11E-253	Astro	RP11-281A20.3
PRODH	4.94E-257	1.484622157	0.387	0.019	8.22E-253	Astro	PRODH
ARHGAP24	1.04E-253	1.640612224	0.549	0.081	1.73E-249	Astro	ARHGAP24
MAML2	2.05E-252	1.612185858	0.596	0.105	3.41E-248	Astro	MAML2
BMPR1B	1.27E-248	1.511391312	0.46	0.045	2.11E-244	Astro	BMPR1B
CTNNA2	1.97E-246	1.057152655	0.987	0.853	3.28E-242	Astro	CTNNA2
ZNF98	4.66E-245	1.858154097	0.41	0.031	7.75E-241	Astro	ZNF98
MMD2	2.15E-242	1.527204628	0.513	0.069	3.57E-238	Astro	MMD2
ALDH1L1	2.75E-237	1.418697197	0.352	0.016	4.58E-233	Astro	ALDH1L1
COL5A3	3.41E-233	1.607355055	0.579	0.111	5.67E-229	Astro	COL5A3
RFX4	5.03E-231	1.631221474	0.54	0.092	8.38E-227	Astro	RFX4
FGFR3	4.82E-227	1.427193222	0.343	0.016	8.02E-223	Astro	FGFR3
AHCYL2	1.52E-224	1.498326452	0.739	0.264	2.52E-220	Astro	AHCYL2
FAM189A2	2.78E-223	1.424784243	0.333	0.015	4.63E-219	Astro	FAM189A2
SOX5	1.49E-222	1.228505051	0.884	0.499	2.47E-218	Astro	SOX5
ARHGAP31	2.33E-220	1.424304827	0.422	0.042	3.87E-216	Astro	ARHGAP31
SPARCL1	6.13E-219	1.315222552	0.888	0.482	1.02E-214	Astro	SPARCL1
FOXO1	9.36E-219	1.488091696	0.485	0.07	1.56E-214	Astro	FOXO1
LRP4	5.03E-218	1.356014711	0.381	0.03	8.36E-214	Astro	LRP4
SHROOM3	9.39E-214	1.55299752	0.537	0.104	1.56E-209	Astro	SHROOM3
NTRK2	1.63E-208	1.211162459	0.891	0.552	2.71E-204	Astro	NTRK2
TPCN1	1.95E-208	1.446834793	0.543	0.109	3.24E-204	Astro	TPCN1
GRAMD1C	7.10E-205	1.410470269	0.426	0.053	1.18E-200	Astro	GRAMD1C
WWOX	1.10E-202	1.202017307	0.875	0.507	1.82E-198	Astro	WWOX
ZSWIM6	3.74E-198	1.334588398	0.79	0.366	6.23E-194	Astro	ZSWIM6
CTNND2	2.39E-197	0.822166747	0.96	0.862	3.98E-193	Astro	CTNND2
MRVI1	2.48E-197	1.17290856	0.275	0.008	4.13E-193	Astro	MRVI1
SLC39A11	1.20E-196	1.314210854	0.686	0.222	2.00E-192	Astro	SLC39A11
EYA2	7.98E-196	1.302192052	0.326	0.022	1.33E-191	Astro	EYA2
RGS20	1.20E-195	1.351438065	0.349	0.029	1.99E-191	Astro	RGS20
PPP2R2B	3.07E-195	0.83484874	0.952	0.773	5.11E-191	Astro	PPP2R2B
TCF7L2	2.45E-194	1.323193814	0.478	0.081	4.08E-190	Astro	TCF7L2
NBPF14	4.77E-194	1.367285579	0.405	0.05	7.93E-190	Astro	NBPF14
TRPS1	6.67E-190	1.441981015	0.583	0.15	1.11E-185	Astro	TRPS1
CHPT1	9.72E-187	1.424268707	0.632	0.199	1.62E-182	Astro	CHPT1
PON2	9.94E-186	1.276281613	0.335	0.028	1.65E-181	Astro	PON2
MERTK	5.24E-183	1.307703738	0.346	0.033	8.71E-179	Astro	MERTK
OPHN1	1.44E-179	1.287889168	0.709	0.282	2.40E-175	Astro	OPHN1
LRRC16A	1.33E-176	1.31467029	0.696	0.277	2.21E-172	Astro	LRRC16A
PLPP3	1.95E-174	1.193686617	0.31	0.024	3.24E-170	Astro	PLPP3
FKBP5	1.79E-173	1.365256818	0.571	0.152	2.98E-169	Astro	FKBP5
PCDH9	4.18E-173	0.596352146	0.994	0.971	6.95E-169	Astro	PCDH9
QKI	3.45E-172	1.040299245	0.802	0.369	5.74E-168	Astro	QKI
EMX2	9.62E-172	1.248955725	0.251	0.009	1.60E-167	Astro	EMX2
PTPRZ1	1.48E-171	1.269718744	0.527	0.121	2.46E-167	Astro	PTPRZ1
KANK1	2.29E-170	1.31833835	0.47	0.092	3.82E-166	Astro	KANK1
FNBP1	3.86E-168	1.276814711	0.647	0.228	6.43E-164	Astro	FNBP1
RHOBTB3	3.95E-168	1.340977748	0.419	0.07	6.56E-164	Astro	RHOBTB3
ALDH1A1	1.16E-167	1.308335948	0.321	0.031	1.93E-163	Astro	ALDH1A1
NRXN1	1.79E-167	0.65664985	0.987	0.944	2.98E-163	Astro	NRXN1
STK33	6.02E-167	1.138704062	0.297	0.023	1.00E-162	Astro	STK33
DOCK1	3.93E-166	1.194758468	0.367	0.046	6.54E-162	Astro	DOCK1
MYO10	2.41E-164	1.206822518	0.34	0.039	4.02E-160	Astro	MYO10
SPON1	9.43E-163	1.262670502	0.343	0.04	1.57E-158	Astro	SPON1
SASH1	2.20E-162	1.364297362	0.545	0.152	3.65E-158	Astro	SASH1
PHF21B	2.83E-160	1.225098381	0.326	0.036	4.70E-156	Astro	PHF21B
GPR75-ASB3	1.53E-159	1.324679376	0.538	0.149	2.54E-155	Astro	GPR75-ASB3
SH3PXD2B	1.56E-159	1.265310895	0.349	0.044	2.59E-155	Astro	SH3PXD2B
ACSS3	8.24E-157	1.204076871	0.334	0.039	1.37E-152	Astro	ACSS3
KCNN3	1.86E-155	1.336382781	0.468	0.105	3.09E-151	Astro	KCNN3
NCKAP5	9.06E-155	1.167387721	0.532	0.138	1.51E-150	Astro	NCKAP5
IGFBP7	3.41E-154	1.15024678	0.262	0.018	5.67E-150	Astro	IGFBP7
LPP	2.22E-151	1.236218629	0.581	0.185	3.69E-147	Astro	LPP
PRKCA	9.43E-151	1.112620368	0.744	0.361	1.57E-146	Astro	PRKCA
CADM1	3.73E-150	1.104711943	0.801	0.498	6.21E-146	Astro	CADM1
SFXN5	2.36E-148	1.252997269	0.571	0.189	3.93E-144	Astro	SFXN5
GLUD1	3.63E-147	1.26754365	0.457	0.106	6.04E-143	Astro	GLUD1
FGD4	1.81E-146	1.241301791	0.433	0.091	3.00E-142	Astro	FGD4
OSBPL11	1.01E-144	1.199326887	0.321	0.042	1.68E-140	Astro	OSBPL11
NEBL	2.02E-144	1.093997238	0.779	0.438	3.36E-140	Astro	NEBL
MEIS2	3.77E-144	1.265262019	0.479	0.12	6.27E-140	Astro	MEIS2
CSGALNACT1	1.84E-142	1.203781819	0.659	0.282	3.06E-138	Astro	CSGALNACT1
BCL2	1.06E-141	1.302099694	0.474	0.125	1.77E-137	Astro	BCL2
ACOT11	5.24E-141	1.212781215	0.417	0.088	8.71E-137	Astro	ACOT11
ASPH	3.49E-140	1.234167858	0.496	0.138	5.80E-136	Astro	ASPH
GADD45G	1.88E-139	1.242155479	0.285	0.03	3.13E-135	Astro	GADD45G
LRIG1	5.25E-138	1.210409695	0.328	0.048	8.74E-134	Astro	LRIG1
PDLIM5	5.81E-138	1.099182625	0.306	0.038	9.67E-134	Astro	PDLIM5
RFTN2	1.07E-137	1.193745154	0.315	0.042	1.77E-133	Astro	RFTN2
EEF2K	3.14E-136	1.264604531	0.457	0.116	5.23E-132	Astro	EEF2K
GABRB1	7.70E-136	0.954265851	0.831	0.579	1.28E-131	Astro	GABRB1
ZFHX4	3.08E-135	1.060612536	0.268	0.026	5.12E-131	Astro	ZFHX4
C1orf61	2.22E-134	1.183045231	0.429	0.098	3.69E-130	Astro	C1orf61
MAPK4	1.61E-133	1.246608595	0.521	0.163	2.68E-129	Astro	MAPK4
DGKG	5.73E-133	1.00972416	0.703	0.304	9.54E-129	Astro	DGKG
ERBB4	1.86E-129	0.548110835	0.917	0.545	3.10E-125	Astro	ERBB4
HEPACAM	3.80E-129	1.102294954	0.271	0.03	6.33E-125	Astro	HEPACAM
RHOJ	1.26E-125	1.036871682	0.262	0.029	2.10E-121	Astro	RHOJ
AQP4	2.09E-125	1.145220531	0.294	0.04	3.48E-121	Astro	AQP4
LGI1	2.79E-125	1.115940477	0.364	0.072	4.64E-121	Astro	LGI1
PIK3C2A	7.99E-125	1.198805257	0.47	0.135	1.33E-120	Astro	PIK3C2A
NDRG2	5.28E-124	1.121997357	0.366	0.073	8.79E-120	Astro	NDRG2
ZHX2	8.00E-124	1.19061996	0.394	0.087	1.33E-119	Astro	ZHX2
RERG	1.01E-121	1.200634579	0.374	0.078	1.67E-117	Astro	RERG
AHCYL1	3.44E-121	1.146689621	0.422	0.105	5.72E-117	Astro	AHCYL1
DAAM2	1.51E-120	1.051332271	0.293	0.041	2.51E-116	Astro	DAAM2
SORBS1	9.40E-120	0.953536671	0.774	0.469	1.56E-115	Astro	SORBS1
ZHX3	8.98E-119	1.090049279	0.607	0.264	1.49E-114	Astro	ZHX3
BMP2K	1.77E-117	1.092789144	0.352	0.071	2.95E-113	Astro	BMP2K
CECR2	2.03E-116	1.024202947	0.261	0.032	3.37E-112	Astro	CECR2
NBPF19	2.86E-116	1.066663987	0.317	0.055	4.75E-112	Astro	NBPF19
EGFR	1.31E-115	1.03023397	0.321	0.056	2.18E-111	Astro	EGFR
NBPF26	2.80E-115	0.991945376	0.258	0.033	4.65E-111	Astro	NBPF26
OGFRL1	4.49E-115	1.028218942	0.264	0.034	7.48E-111	Astro	OGFRL1
ARHGEF4	2.19E-114	1.140485023	0.563	0.23	3.64E-110	Astro	ARHGEF4
