Gene	ModuleColor	kWithin	ModuleName
ABCB7	black	17.5578292918336	WM1
AC004076.9	black	14.5560810893658	WM1
ADGRF3	black	6.0411930380371	WM1
ALG14	black	10.5147617009302	WM1
ALG5	black	23.243963121677	WM1
ALKBH1	black	7.01819397404686	WM1
AMY2B	black	13.1102427789951	WM1
ANAPC10	black	22.046799626795	WM1
ANKAR	black	14.5519841526685	WM1
ANKHD1-EIF4EBP3	black	10.1193161254243	WM1
ANKRD31	black	9.61055973381855	WM1
ARFIP1	black	12.1359937841005	WM1
ARHGAP11B	black	7.07320611547532	WM1
ARL13B	black	15.2000704140835	WM1
ATAD2	black	5.27204084741462	WM1
ATAD2B	black	22.9984914604496	WM1
ATF1	black	9.76077754159118	WM1
ATR	black	28.9764967722673	WM1
BCL2L2	black	3.39860284712605	WM1
BRIP1	black	15.8538788121108	WM1
C12orf42	black	2.18679878121476	WM1
C1D	black	27.9510350961771	WM1
C3orf20	black	5.79129361531558	WM1
C7orf60	black	11.1003963897796	WM1
C9orf24	black	13.2633225854974	WM1
CAAP1	black	35.9394421542028	WM1
CASC1	black	32.7819033185893	WM1
CBR4	black	17.787677487222	WM1
CBWD3	black	9.68609820752451	WM1
CBWD7	black	10.7033060797094	WM1
CC2D2A	black	8.46600874069821	WM1
CCDC125	black	20.2538026962422	WM1
CCDC138	black	17.1635299207357	WM1
CCDC14	black	23.4161513487978	WM1
CCDC170	black	23.2188253970022	WM1
CCDC175	black	14.6156318935755	WM1
CCDC191	black	26.7681080042914	WM1
CCDC66	black	32.2190227769219	WM1
CD200R1	black	6.34312710606599	WM1
CDKL3	black	14.841929597311	WM1
CENPC	black	28.8060929974752	WM1
CEP152	black	32.4659357044054	WM1
CEP162	black	32.0202744259589	WM1
CEP57L1	black	26.6889398182033	WM1
CEP63	black	14.3533037501986	WM1
CEP83	black	10.8890800339809	WM1
CFAP43	black	30.8047685455145	WM1
CHIC2	black	25.3841459519802	WM1
CLDN16	black	17.8905692537838	WM1
CLEC4A	black	7.26086249174205	WM1
CNTRL	black	29.9340621509979	WM1
CPO	black	13.3077153094435	WM1
CRB1	black	11.6699420482844	WM1
CSPP1	black	22.1343218921647	WM1
CTAGE5	black	6.98140442177931	WM1
CTD-2135J3.4	black	22.9746170555526	WM1
CTD-3105H18.16	black	12.4954016476964	WM1
CWC27	black	23.4201882156056	WM1
CXorf23	black	17.3200113175761	WM1
CYB5R4	black	15.5241512720266	WM1
CYSLTR2	black	3.81291027870873	WM1
DCAF10	black	24.1540829317885	WM1
DCDC2	black	16.7966469590384	WM1
DCP1B	black	9.592044126621	WM1
DIAPH2	black	8.42035339792369	WM1
DIRC2	black	4.65587936442653	WM1
DISP1	black	14.754005654276	WM1
DLL1	black	14.5010872732317	WM1
DSE	black	10.6378910754806	WM1
DYNC2H1	black	15.0257586782587	WM1
DYX1C1	black	23.0824326071476	WM1
EAF2	black	22.2091107642235	WM1
ELP4	black	17.7378695241355	WM1
ENPP3	black	11.1924740333946	WM1
EPC2	black	28.435166152821	WM1
ERCC8	black	38.9856915120077	WM1
ETFDH	black	6.66650437848234	WM1
FAM133B	black	16.4775917727769	WM1
FAM149B1	black	15.4428730093534	WM1
FAM151B	black	17.1250256361305	WM1
FAM173B	black	18.8708430491661	WM1
FAM185A	black	18.6512363802253	WM1
FAM24B	black	20.7271171255983	WM1
FAM47E-STBD1	black	11.0438099796392	WM1
FANK1	black	8.95762344367218	WM1
FASTKD1	black	10.6038689536558	WM1
FBXO22	black	19.290137840693	WM1
FDX1	black	10.5516431639919	WM1
GCFC2	black	25.3578411361306	WM1
GLCCI1	black	17.1589428445766	WM1
GLYATL2	black	18.0398123871583	WM1
GOPC	black	20.9082147058445	WM1
GPR89A	black	12.9100363707449	WM1
GPR89B	black	27.9345938404178	WM1
GTPBP10	black	30.4159596044643	WM1
GVQW2	black	5.77162873071031	WM1
HDX	black	12.7879390375088	WM1
HRASLS	black	17.1620398622374	WM1
INTS7	black	11.9343741472969	WM1
IQCB1	black	27.4156152555097	WM1
IRAK1BP1	black	23.3392257095314	WM1
KANSL1L	black	34.4562633314905	WM1
KCNMB3	black	24.6422225604358	WM1
KIAA0586	black	15.9385004902252	WM1
KIF27	black	10.3514287196812	WM1
KLHL20	black	37.9084775983105	WM1
KLRG1	black	18.3425802309635	WM1
LDAH	black	23.5017309858717	WM1
LRRIQ1	black	22.1002882943367	WM1
LSMEM1	black	4.59221755981308	WM1
MAATS1	black	22.2128312858709	WM1
MAPK8	black	16.4331325048611	WM1
MBD5	black	20.5081068078323	WM1
MBTD1	black	26.8179927391482	WM1
MCM9	black	25.6880818550417	WM1
MCMDC2	black	12.0107306802181	WM1
MICU2	black	29.5644702010734	WM1
MIPOL1	black	19.3305328470501	WM1
MME	black	7.7229618256799	WM1
MPHOSPH6	black	8.55649876223377	WM1
MRPL1	black	33.3195240417262	WM1
MTBP	black	10.9394677344214	WM1
MTERF1	black	12.5085379450339	WM1
MTFMT	black	4.21017878430658	WM1
N6AMT2	black	26.1718803131508	WM1
NAA16	black	5.78110886210288	WM1
NAA35	black	35.2424695466973	WM1
NCK1	black	38.3068094939249	WM1
NEK1	black	17.5161180495252	WM1
NMD3	black	23.7051646956536	WM1
NPHP1	black	19.4850035202651	WM1
OFD1	black	13.3533266389618	WM1
OR8S1	black	15.8754298620676	WM1
ORC2	black	17.2451942447101	WM1
OXSR1	black	16.9213005607421	WM1
P2RY14	black	7.45375851995912	WM1
PARP11	black	27.5051634862802	WM1
PAXIP1	black	15.7482019817273	WM1
PCGF6	black	12.4291602649032	WM1
PDE3B	black	31.3704624518575	WM1
PEX13	black	23.1104435390516	WM1
PEX3	black	18.3103871977747	WM1
PEX7	black	5.25402097434907	WM1
PIBF1	black	29.9062399854228	WM1
PIGZ	black	6.81820578234164	WM1
PIWIL4	black	6.56085208525576	WM1
PLAC8L1	black	6.26164701632722	WM1
POLG2	black	6.7711453660892	WM1
POLR3G	black	21.2735958966183	WM1
PON3	black	7.36376833535709	WM1
POP1	black	26.8864722667984	WM1
