Delta	Theta	Alpha	Beta	Gamma	High.Gamma	STG_GM_Thickness_mm	Perc_recall
MEblack	-0.0411764705882353	0.108823529411765	0.244117647058824	0.235467319082104	0.25	0.0147058823529412	0.170588235294118	-0.114705882352941
MEblue	-0.0176470588235294	-0.173529411764706	-0.297058823529412	-0.24282567280342	-0.141176470588235	-0.108823529411765	-0.194117647058824	0.176470588235294
MEbrown	0.158823529411765	0.214705882352941	0.255882352941176	0.316409210016577	0.141176470588235	0.235294117647059	0.161764705882353	-0.0352941176470588
MEcyan	0.1	-0.0352941176470588	0.138235294117647	-0.0309050856295262	0.152941176470588	-0.129411764705882	0.217647058823529	0.164705882352941
MEdarkgreen	0.0264705882352941	0.0647058823529412	-0.294117647058824	-0.23841066057063	-0.0470588235294118	0.220588235294118	0.229411764705882	0.0205882352941176
MEdarkgrey	0.0676470588235294	0.102941176470588	0.0705882352941176	0.19131719675421	0.182352941176471	0.144117647058824	0.279411764705882	0.00882352941176471
MEdarkorange	-0.0117647058823529	0.0147058823529412	0.161764705882353	0.173657147823052	0.382352941176471	0.00294117647058824	0.226470588235294	0.170588235294118
MEdarkred	0.279411764705882	0.232352941176471	0.205882352941176	0.194260538242736	-0.114705882352941	0.188235294117647	0.0794117647058823	0.426470588235294
MEdarkturquoise	-0.0647058823529412	-0.0558823529411765	-0.0147058823529412	0.208977245685367	0.0588235294117647	-0.217647058823529	-0.238235294117647	-0.320588235294118
MEgreen	-0.420588235294118	-0.435294117647059	-0.367647058823529	-0.279617441409999	0.194117647058824	-0.270588235294118	0.0411764705882353	-0.226470588235294
MEgreenyellow	-0.214705882352941	-0.0588235294117647	-0.197058823529412	0.0250184026524736	0.288235294117647	0.267647058823529	0.282352941176471	-0.279411764705882
MEgrey60	-0.129411764705882	-0.273529411764706	-0.161764705882353	-0.348785966390367	-0.0823529411764706	-0.244117647058824	-0.0941176470588235	0.191176470588235
MElightcyan	-0.214705882352941	-0.0735294117647059	0.0882352941176471	0.0750552079574207	0.305882352941176	-0.0382352941176471	0.226470588235294	-0.288235294117647
MElightgreen	0.373529411764706	0.352941176470588	0.05	0.0706401957246312	-0.164705882352941	0.25	0.223529411764706	0.273529411764706
MElightyellow	-0.3	-0.297058823529412	-0.0117647058823529	-0.00735835372131575	0.0852941176470588	-0.408823529411765	-0.144117647058824	-0.285294117647059
MEmagenta	0.447058823529412	0.361764705882353	0.214705882352941	0.226637294616525	-0.108823529411765	0.376470588235294	0.105882352941176	0.261764705882353
MEmidnightblue	0.164705882352941	0.0617647058823529	-0.261764705882353	-0.211920587173894	-0.208823529411765	0.144117647058824	0.0647058823529412	0.0941176470588235
MEorange	0.1	0.208823529411765	0.476470588235294	0.447387906255998	0.285294117647059	-0.00588235294117647	-0.0470588235294118	-0.0970588235294118
MEpink	0.341176470588235	0.132352941176471	-0.00294117647058824	-0.029433414885263	-0.358823529411765	-0.0323529411764706	-0.223529411764706	0.335294117647059
MEpurple	0.676470588235294	0.514705882352941	0.564705882352941	0.478292991885524	-0.294117647058824	0.0823529411764706	-0.0911764705882353	0.479411764705882
MEred	0.173529411764706	0.261764705882353	0.402941176470588	0.472406308908471	-0.0823529411764706	0.0558823529411765	-0.332352941176471	-0.267647058823529
MEroyalblue	-0.332352941176471	-0.114705882352941	-0.373529411764706	-0.179543830800104	0.258823529411765	0.126470588235294	0.226470588235294	-0.391176470588235
MEsalmon	-0.314705882352941	-0.197058823529412	-0.505882352941176	-0.356144320111682	0.138235294117647	0.0529411764705882	0.00588235294117647	-0.235294117647059
MEtan	-0.0205882352941176	0.0588235294117647	0.247058823529412	0.154525428147631	0.0588235294117647	0.00588235294117647	0.185294117647059	0.179411764705882
MEturquoise	-0.276470588235294	-0.302941176470588	-0.405882352941176	-0.251655697268999	0.0352941176470588	-0.2	-0.0970588235294118	-0.0294117647058823
MEyellow	0.447058823529412	0.394117647058824	0.467647058823529	0.329654246714946	-0.241176470588235	0.132352941176471	-0.0264705882352941	0.335294117647059
