Delta_LR	Theta_LR	Alpha_LR	Beta_LR	Gamma_LR	High.Gamma_LR
MEblack	0.444284641052144	0.956891924031642	0.745222094367133	0.176103738091593	0.305323156307405	0.888197653985307
MEblue	0.08953003199188	0.36221349614195	0.609665940750183	0.164868397244754	0.118791684532375	0.720651308237203
MEbrown	0.172303862892633	0.444284641052144	0.761733078752474	0.527609768861268	0.140544177373676	0.664341079162354
MEcyan	0.0470631404672732	0.0802957365433965	0.356275041512577	0.478164012817028	0.0293363374813766	0.195932624867889
MEdarkgreen	0.720651308237203	0.948280150054711	0.770025319039825	0.770025319039825	0.444284641052144	0.549483143403693
MEdarkgrey	0.795039302337628	0.828680750033226	0.4576879050752	0.579248630664253	0.478164012817028	0.862603694666873
MEdarkorange	0.217159490579229	0.39272049088162	0.327410411812586	0.871122004806598	0.305323156307405	0.854099552129744
MEdarkred	0.672291046599723	0.221574125001243	0.431083247239221	0.386511349907985	0.485086609145468	0.640694440816884
MEdarkturquoise	0.672291046599723	0.648542066972341	1	0.931073583667659	0.745222094367133	0.811821451310593
MEgreen	0.172303862892633	0.0759454911674119	0.273887048419149	0.828680750033226	0.239800047674113	0.837137221795472
MEgreenyellow	0.418086841611303	0.786679249125857	0.527609768861268	0.041345806442249	0.571744619245462	0.0677608501901539
MEgrey60	0.0485802888870239	0.534856824581943	0.795039302337628	0.263863014613523	0.164868397244754	0.368206608042634
MElightcyan	0.609665940750183	0.680273694985841	0.542148135201078	0.0802957365433965	0.356275041512577	0.602002683881979
MElightgreen	0.888197653985307	0.444284641052144	0.594378288173693	0.327410411812586	0.640694440816884	0.688288293957414
MElightyellow	0.948280150054711	0.4990748572458	0.879653614931831	0.753465069474783	0.712516370128278	0.720651308237203
MEmagenta	0.506139539990439	0.254066880609611	0.4990748572458	0.471289728362107	0.664341079162354	0.982750504419135
MEmidnightblue	0.471289728362107	0.871122004806598	0.931073583667659	0.239800047674113	0.226045422207982	0.956891924031642
MEorange	0.350391479107202	0.737004950173659	0.956891924031642	0.338789908071246	0.284138740159563	0.939673739789045
MEpink	0.356275041512577	0.896753247693533	0.753465069474783	0.0235370164742809	0.263863014613523	0.230573463621846
MEpurple	0.778340980960703	0.374254129727988	0.368206608042634	0.0517234422492355	0.696334105038116	0.118791684532375
MEred	0.0064157065211753	0.134071286197255	0.221574125001243	0.579248630664253	0.0517234422492355	0.609665940750183
MEroyalblue	0.803420313796669	0.520407514448741	0.273887048419149	0.015232400876328	0.939673739789045	0.113033866214367
MEsalmon	0.431083247239221	0.130912854298991	0.1247504235984	0.176103738091593	0.4576879050752	0.244498695798518
MEtan	0.235158319266344	0.485086609145468	0.411666430497963	0.664341079162354	0.0658194725010811	0.656424514748595
MEturquoise	0.195932624867889	0.176103738091593	0.444284641052144	0.761733078752474	0.204254580845515	0.939673739789045
MEyellow	0.333072306633608	0.150648115287631	0.344563031337499	0.464464211225739	0.208499827982209	0.350391479107202
