Gene	Waves	Rho	Pval	BootP	PermP	BootP_All
7	AACS	Delta	-0.547058823529412	0.028301087242109	0.03	0.03	0.02
20	AASDHPPT	Delta	0.641176470588235	0.00743441908253395	0.01	0.01	0
60	ABCE1	Delta	0.585294117647059	0.0172252866160948	0.01	0.01	0.01
91	ABL1	Delta	-0.629411764705882	0.00898808926444689	0.01	0.01	0
98	ABRACL	Delta	0.764705882352941	0.000559676294356745	0	0	0
104	AC003002.4	Delta	0.6	0.0140071223296	0	0.03	0.01
125	AC087350.1	Delta	0.635294117647059	0.00818206461633403	0.01	0	0.01
159	ACER1	Delta	-0.544117647058823	0.0293363374813766	0.04	0.03	0.04
163	ACIN1	Delta	-0.647058823529412	0.00674207700717987	0.02	0	0.03
181	ACOX3	Delta	-0.611764705882353	0.0117884050531152	0.02	0.04	0
183	ACP1	Delta	0.711764705882353	0.00198404324776996	0	0	0
214	ACTR10	Delta	0.529411764705882	0.0349520067895181	0.03	0.04	0.03
300	ADCYAP1	Delta	0.582352941176471	0.0179327341310354	0.03	0.04	0.01
340	ADO	Delta	0.608823529411765	0.0123152031982465	0.01	0.02	0.01
422	AHNAK	Delta	-0.617647058823529	0.0107879846019488	0.03	0	0.02
457	AKAP13	Delta	-0.647058823529412	0.00674207700717987	0.02	0	0
475	AKR1C3	Delta	0.567647058823529	0.021814592143743	0.04	0.02	0.02
498	ALDH1L1	Delta	-0.576470588235294	0.0194151403865316	0.02	0.02	0.02
511	ALG10	Delta	0.644117647058823	0.00708152408658287	0.01	0	0
512	ALG10B	Delta	0.702941176470588	0.00238695266930094	0	0	0
517	ALG1L	Delta	0.576470588235294	0.0194151403865316	0.01	0.04	0.02
524	ALG9	Delta	0.6	0.0140071223296	0.01	0.01	0
634	ANKRD23	Delta	-0.579411764705882	0.0186625294177119	0.02	0	0.01
742	AP5M1	Delta	0.629411764705882	0.00898808926444689	0	0.03	0.02
755	APCDD1	Delta	-0.535294117647059	0.0326158632940221	0.04	0.04	0.04
788	APPL1	Delta	0.620588235294118	0.0103135155496777	0	0.01	0
833	ARHGAP19-SLIT1	Delta	-0.614705882352941	0.011279474063305	0.01	0.03	0.01
881	ARID1A	Delta	-0.597058823529412	0.014609731954981	0.04	0.02	0
889	ARID5B	Delta	-0.720588235294118	0.00163819116387962	0.01	0	0
907	ARL5B	Delta	0.758823529411765	0.00065403023616479	0	0	0
911	ARL6IP5	Delta	0.576470588235294	0.0194151403865316	0.02	0.02	0
916	ARMC1	Delta	0.702941176470588	0.00238695266930094	0.01	0.01	0
917	ARMC10	Delta	0.614705882352941	0.011279474063305	0.01	0	0.01
924	ARMC7	Delta	-0.629411764705882	0.00898808926444689	0.01	0.01	0.01
933	ARMT1	Delta	0.682352941176471	0.00358797041175672	0.01	0	0
945	ARPP19	Delta	0.620588235294118	0.0103135155496777	0	0.02	0.01
963	ART1	Delta	-0.585294117647059	0.0172252866160948	0	0.02	0
990	ASF1A	Delta	0.55	0.0272939727097306	0.02	0	0.02
1061	ATL1	Delta	0.55	0.0272939727097306	0.04	0.03	0.02
1087	ATP1B2	Delta	-0.579411764705882	0.0186625294177119	0.04	0.01	0.04
1104	ATP5F1	Delta	0.605882352941176	0.0128602985333672	0	0.03	0.01
1110	ATP5J	Delta	0.544117647058823	0.0293363374813766	0.02	0.01	0.02
1133	ATP6V1G1	Delta	0.552941176470588	0.0263144998706665	0.04	0.01	0.02
1158	ATXN2	Delta	-0.523529411764706	0.0374126481301495	0.04	0.02	0.04
1160	ATXN3	Delta	0.602941176470588	0.0134241253978914	0.01	0.01	0.02
1183	AZI2	Delta	0.561764705882353	0.0235370164742809	0.03	0.01	0.04
1214	B4GALT6	Delta	0.641176470588235	0.00743441908253395	0	0.01	0
1229	BAG4	Delta	0.75	0.000819764027255587	0	0	0
1258	BBS10	Delta	0.582352941176471	0.0179327341310354	0.02	0.02	0.02
1272	BCAS2	Delta	0.517647058823529	0.0400017929595607	0.04	0.04	0.01
1276	BCAT2	Delta	-0.608823529411765	0.0123152031982464	0.01	0.03	0.01
1298	BCL6	Delta	-0.626470588235294	0.00941397730678363	0.01	0.01	0.03
1304	BCL9L	Delta	-0.620588235294118	0.0103135155496777	0.04	0.04	0.01
1334	BGN	Delta	-0.567647058823529	0.021814592143743	0	0.01	0.01
1348	BIRC2	Delta	0.594117647058824	0.015232400876328	0.04	0.01	0
1365	BMI1	Delta	0.597058823529412	0.014609731954981	0.01	0.03	0.02
1400	BPGM	Delta	0.679411764705882	0.00379343266915975	0	0.01	0.02
1423	BRI3	Delta	-0.579411764705882	0.0186625294177119	0.04	0.03	0.04
1448	BTBD1	Delta	0.652941176470588	0.00610204667907699	0	0	0
1497	C10orf54	Delta	-0.579411764705882	0.0186625294177119	0.02	0.02	0.04
1515	C11orf71	Delta	0.591176470588235	0.0158755795556415	0.03	0.01	0.03
1524	C12orf29	Delta	0.617647058823529	0.0107879846019488	0.01	0	0
1525	C12orf4	Delta	0.623529411764706	0.00985565039092204	0.01	0.01	0.02
1576	C16orf91	Delta	0.597058823529412	0.014609731954981	0.04	0.03	0.03
1584	C17orf58	Delta	0.644117647058823	0.00708152408658287	0	0.01	0.01
1626	C1orf112	Delta	0.582352941176471	0.0179327341310354	0	0.02	0.03
1645	C1orf21	Delta	-0.555882352941176	0.0253621763206081	0.02	0.03	0.01
1655	C1orf52	Delta	0.691176470588235	0.00302471879504341	0	0.01	0.01
1683	C20orf194	Delta	-0.673529411764706	0.0042327392484605	0	0.01	0
1726	C3orf14	Delta	0.788235294117647	0.000286465682391849	0.01	0	0
1774	C6orf120	Delta	0.773529411764706	0.00043935565171172	0	0	0
1898	CALCRL	Delta	0.594117647058824	0.015232400876328	0.02	0.02	0.01
1905	CALN1	Delta	-0.6	0.0140071223296	0.02	0.01	0.01
1907	CALU	Delta	0.588235294117647	0.0165397221953782	0.03	0.02	0.01
1954	CAPZA2	Delta	0.523529411764706	0.0374126481301494	0.04	0.03	0
1976	CASC4	Delta	0.585294117647059	0.0172252866160948	0	0	0.03
1991	CASP9	Delta	-0.614705882352941	0.011279474063305	0	0.01	0.02
2007	CBFA2T2	Delta	-0.6	0.0140071223296	0.02	0.03	0.01
2010	CBL	Delta	-0.8	0.000198570972800003	0	0	0
2016	CBLN4	Delta	0.555882352941176	0.025362176320608	0.03	0.02	0.04
2042	CCBL1	Delta	-0.552941176470588	0.0263144998706666	0.03	0.01	0.02
2057	CCDC120	Delta	-0.617647058823529	0.0107879846019488	0	0.01	0.02
2077	CCDC149	Delta	-0.582352941176471	0.0179327341310354	0.01	0.01	0.02
2152	CCDC84	Delta	-0.6	0.0140071223296	0	0.03	0.01
2185	CCNB1IP1	Delta	0.573529411764706	0.0201910380465231	0.04	0.02	0.02
2372	CDK2AP1	Delta	0.611764705882353	0.0117884050531152	0.01	0.02	0.03
2387	CDKL2	Delta	0.611764705882353	0.0117884050531152	0.01	0.01	0.04
2420	CEBPZOS	Delta	0.588235294117647	0.0165397221953782	0	0.03	0.01
2452	CENPT	Delta	-0.567647058823529	0.021814592143743	0.01	0.01	0.02
2470	CEP250	Delta	-0.623529411764706	0.00985565039092201	0.01	0	0.01
2540	CGGBP1	Delta	0.585294117647059	0.0172252866160948	0	0.03	0.01
2568	CHD3	Delta	-0.567647058823529	0.021814592143743	0.03	0	0.01
2578	CHFR	Delta	-0.732352941176471	0.00125495816615226	0	0	0
2583	CHIC1	Delta	0.591176470588235	0.0158755795556415	0.03	0.02	0
2590	CHM	Delta	0.661764705882353	0.00523375330132751	0	0.01	0.01
2631	CHST11	Delta	-0.694117647058824	0.00285370590345691	0.01	0	0
2632	CHST12	Delta	-0.670588235294118	0.00446720869773816	0	0	0
2681	CLASP1	Delta	-0.588235294117647	0.0165397221953781	0.01	0	0.01
2762	CLUAP1	Delta	-0.532352941176471	0.0337686229602348	0.03	0.02	0.03
2766	CLVS2	Delta	0.573529411764706	0.0201910380465231	0.01	0.03	0.02
2775	CMPK2	Delta	0.623529411764706	0.00985565039092204	0	0	0
2791	CNEP1R1	Delta	0.558823529411765	0.0244365114245058	0	0.03	0.02
2918	COMMD1	Delta	-0.623529411764706	0.00985565039092201	0.01	0.01	0
2920	COMMD2	Delta	0.602941176470588	0.0134241253978914	0.02	0.02	0.03
