Gene	Waves	Rho	Pval	BootP	PermP	BootP_All
57	ABCD2	Perc_recall	0.526470588235294	0.0361665149722455	0.04	0.01	0.02
63	ABCG1	Perc_recall	-0.635294117647059	0.00818206461633403	0.01	0.01	0.02
71	ABHD12	Perc_recall	-0.714705882352941	0.00186274109994744	0	0	0
85	ABHD6	Perc_recall	-0.564705882352941	0.0226632048441846	0.02	0.04	0.04
101	ABTB2	Perc_recall	-0.611764705882353	0.0117884050531152	0.04	0.01	0.02
136	ACACB	Perc_recall	-0.667647058823529	0.00471198194799	0.01	0	0
178	ACOT9	Perc_recall	-0.652941176470588	0.006102046679077	0	0.03	0.02
223	ACTR8	Perc_recall	0.7	0.00253509460443193	0	0.01	0
235	ADAD2	Perc_recall	0.544117647058823	0.0293363374813766	0.04	0.03	0.01
253	ADAM9	Perc_recall	0.573529411764706	0.0201910380465231	0.02	0.01	0.01
300	ADCYAP1	Perc_recall	0.538235294117647	0.0314932282058384	0.04	0.02	0.04
360	ADSSL1	Perc_recall	-0.664705882352941	0.00496738593748203	0.01	0	0.01
430	AIF1	Perc_recall	0.705882352941176	0.00224590060105133	0	0	0
442	AIRE	Perc_recall	0.547058823529412	0.0283010872421088	0.04	0.04	0.04
461	AKAP6	Perc_recall	-0.555882352941176	0.0253621763206081	0.02	0.02	0.02
571	AMPD3	Perc_recall	-0.573529411764706	0.0201910380465231	0.02	0.01	0.01
685	ANOS1	Perc_recall	0.564705882352941	0.0226632048441846	0.03	0.03	0
687	ANP32B	Perc_recall	-0.641176470588235	0.00743441908253395	0.02	0.01	0
733	AP3M1	Perc_recall	0.705882352941176	0.00224590060105133	0.02	0	0.01
829	ARHGAP12	Perc_recall	0.576470588235294	0.0194151403865316	0.02	0.03	0.01
859	ARHGDIB	Perc_recall	0.697058823529412	0.0026905894025606	0	0	0
1033	ATF2	Perc_recall	0.629411764705882	0.00898808926444689	0	0.01	0.02
1068	ATOH8	Perc_recall	-0.817647058823529	0.000109363080819865	0	0	0
1073	ATP11A	Perc_recall	-0.547058823529412	0.028301087242109	0.04	0.02	0.02
1079	ATP13A3	Perc_recall	0.564705882352941	0.0226632048441846	0.02	0.02	0
1111	ATP5L	Perc_recall	0.732352941176471	0.00125495816615226	0	0	0
1187	B2M	Perc_recall	0.6	0.0140071223296	0.02	0	0.01
1292	BCL2L13	Perc_recall	-0.532352941176471	0.0337686229602348	0.04	0	0.04
