Gene	Waves	Rho	Pval	BootP	PermP	BootP_All
21	AASS	Delta	-0.741176470588235	0.00101846954957367	0	0.01	0.01
22	AATF	Delta	-0.564705882352941	0.0226632048441846	0.03	0.03	0.04
78	ABHD17B	Delta	-0.561764705882353	0.023537016474281	0	0.03	0
152	ACBD5	Delta	-0.526470588235294	0.0361665149722456	0.03	0.01	0.04
156	ACD	Delta	0.708823529411765	0.00211168123925454	0	0	0
161	ACER3	Delta	-0.744117647058824	0.000948282785737869	0	0	0
175	ACOT4	Delta	0.614705882352941	0.011279474063305	0.03	0	0.01
203	ACSS2	Delta	-0.608823529411765	0.0123152031982464	0.02	0.01	0.01
239	ADAM12	Delta	-0.576470588235294	0.0194151403865316	0.02	0	0
247	ADAM23	Delta	0.588235294117647	0.0165397221953782	0.03	0.02	0.01
254	ADAMTS1	Delta	-0.538235294117647	0.0314932282058384	0.01	0	0.02
258	ADAMTS14	Delta	-0.647058823529412	0.00674207700717987	0.01	0	0
271	ADAMTS8	Delta	0.711764705882353	0.00198404324776996	0.01	0.01	0.01
275	ADAMTSL3	Delta	-0.641176470588235	0.00743441908253395	0	0	0
280	ADAR	Delta	0.6	0.0140071223296	0.01	0.01	0
281	ADARB1	Delta	0.626470588235294	0.00941397730678366	0.02	0.01	0
318	ADGRF5	Delta	0.526470588235294	0.0361665149722455	0.02	0.03	0.04
325	ADGRL2	Delta	0.573529411764706	0.0201910380465231	0.01	0.03	0.01
334	ADIPOR2	Delta	-0.570588235294118	0.0209906963682178	0.01	0.02	0.02
360	ADSSL1	Delta	-0.588235294117647	0.0165397221953781	0.02	0.02	0.02
377	AFMID	Delta	-0.538235294117647	0.0314932282058384	0.02	0.02	0
387	AGBL1	Delta	0.564705882352941	0.0226632048441846	0.02	0.03	0.02
391	AGBL5	Delta	0.620588235294118	0.0103135155496777	0.01	0.02	0
413	AGTPBP1	Delta	-0.608823529411765	0.0123152031982464	0.01	0.01	0
427	AHSA2	Delta	-0.576470588235294	0.0194151403865316	0	0.03	0.03
443	AJAP1	Delta	0.597058823529412	0.014609731954981	0.01	0.02	0.02
453	AKAP1	Delta	0.564705882352941	0.0226632048441846	0.01	0.02	0.01
491	ALCAM	Delta	-0.679411764705882	0.00379343266915975	0	0.01	0
532	ALKBH7	Delta	0.620588235294118	0.0103135155496777	0.01	0	0.01
543	ALPK3	Delta	-0.620588235294118	0.0103135155496777	0.01	0	0.01
545	ALS2	Delta	0.65	0.0064157065211753	0	0	0
557	AMER1	Delta	0.570588235294118	0.0209906963682178	0.03	0.01	0.01
565	AMMECR1L	Delta	0.741176470588235	0.00101846954957367	0	0	0
571	AMPD3	Delta	-0.664705882352941	0.00496738593748203	0.01	0	0
594	ANGPTL2	Delta	-0.738235294117647	0.00109285081184815	0	0.01	0
645	ANKRD34A	Delta	0.647058823529412	0.00674207700717987	0.01	0.01	0.01
655	ANKRD44	Delta	-0.564705882352941	0.0226632048441846	0.03	0.03	0.01
662	ANKRD55	Delta	-0.541176470588235	0.0304002188881703	0.03	0.03	0.04
668	ANKRD9	Delta	0.65	0.0064157065211753	0.01	0	0
671	ANKS3	Delta	0.558823529411765	0.0244365114245058	0.03	0.04	0.02
680	ANO4	Delta	-0.602941176470588	0.0134241253978913	0.01	0	0
695	ANXA11	Delta	0.517647058823529	0.0400017929595607	0.04	0.04	0.03
700	ANXA4	Delta	-0.697058823529412	0.0026905894025606	0.01	0	0
746	APBA1	Delta	0.597058823529412	0.014609731954981	0.02	0.03	0.03
756	APEH	Delta	0.538235294117647	0.0314932282058384	0.01	0.01	0.04
803	ARAP2	Delta	-0.567647058823529	0.021814592143743	0.01	0.04	0.03
846	ARHGAP32	Delta	0.641176470588235	0.00743441908253395	0.02	0.01	0.01
875	ARHGEF37	Delta	-0.679411764705882	0.00379343266915975	0	0.01	0
883	ARID2	Delta	-0.664705882352941	0.00496738593748203	0	0.01	0
905	ARL4D	Delta	0.561764705882353	0.0235370164742809	0.03	0.02	0.02
926	ARMC9	Delta	0.720588235294118	0.00163819116387961	0	0	0
946	ARPP21	Delta	0.544117647058823	0.0293363374813766	0.01	0.02	0.02
951	ARRDC3	Delta	-0.682352941176471	0.00358797041175672	0	0	0.01
995	ASIC2	Delta	0.508823529411765	0.0441352182349839	0.03	0.04	0.03
1001	ASNS	Delta	0.782352941176471	0.000341220763964972	0	0	0
1003	ASPA	Delta	-0.561764705882353	0.023537016474281	0.02	0.01	0.02
1007	ASPHD2	Delta	0.626470588235294	0.00941397730678366	0	0.01	0.02
1018	ASUN	Delta	-0.544117647058823	0.0293363374813766	0	0.02	0.03
1071	ATP10B	Delta	-0.655882352941176	0.00580073696223151	0	0	0
1119	ATP6V0A4	Delta	-0.702941176470588	0.00238695266930094	0	0.01	0
1137	ATP7A	Delta	-0.694117647058824	0.00285370590345691	0	0	0
1173	AVEN	Delta	-0.626470588235294	0.00941397730678363	0.01	0.02	0
1209	B4GALT1	Delta	-0.579411764705882	0.0186625294177119	0.04	0.01	0.02
1222	BACE2	Delta	0.532352941176471	0.0337686229602347	0.03	0.02	0.02
1224	BACH2	Delta	-0.594117647058824	0.015232400876328	0.01	0.03	0.02
1235	BAIAP2L1	Delta	-0.747058823529412	0.000882106992984634	0	0.01	0
1242	BANP	Delta	0.541176470588235	0.0304002188881702	0.02	0.02	0.01
1253	BAZ2B	Delta	-0.635294117647059	0.00818206461633403	0.01	0.02	0.01
1260	BBS2	Delta	-0.576470588235294	0.0194151403865316	0.02	0.02	0.01
1271	BCAS1	Delta	-0.558823529411765	0.0244365114245058	0.02	0.02	0.03
1286	BCL2	Delta	-0.588235294117647	0.0165397221953781	0.01	0.02	0.02
1311	BCS1L	Delta	0.576470588235294	0.0194151403865316	0.02	0	0.02
1332	BFSP1	Delta	0.555882352941176	0.025362176320608	0.01	0.03	0.03
1358	BLOC1S2	Delta	-0.614705882352941	0.011279474063305	0.02	0.01	0
1382	BNC2	Delta	-0.547058823529412	0.028301087242109	0.03	0.03	0.02
1399	BORCS8-MEF2B	Delta	-0.670588235294118	0.00446720869773816	0.01	0.04	0
1427	BRINP2	Delta	0.632352941176471	0.00857758410309935	0.01	0.01	0.01
1464	BTG2	Delta	-0.694117647058824	0.00285370590345691	0.01	0	0
1490	C10orf11	Delta	-0.567647058823529	0.021814592143743	0.01	0	0.02
1500	C10orf82	Delta	0.65	0.0064157065211753	0	0.02	0.01
1506	C11orf45	Delta	0.620588235294118	0.0103135155496777	0.03	0.02	0.01
1512	C11orf65	Delta	-0.688235294117647	0.00320390861439574	0	0	0
1519	C11orf84	Delta	0.644117647058823	0.00708152408658287	0.01	0.02	0
1522	C11orf96	Delta	0.514705882352941	0.041345806442249	0.03	0.03	0.02
1591	C17orf96	Delta	0.582352941176471	0.0179327341310354	0.03	0.01	0.04
1600	C19orf18	Delta	-0.629411764705882	0.00898808926444689	0.04	0.01	0
1633	C1orf145	Delta	0.597058823529412	0.014609731954981	0.02	0.03	0.02
1642	C1orf194	Delta	0.526470588235294	0.0361665149722455	0.02	0.03	0.03
1664	C1orf95	Delta	0.647058823529412	0.00674207700717987	0.02	0	0
